Deuterium exports,Deuterium inventory,Fixed plant power,Fusion Fleet Gross Electric,Imports,Fusion Fleet Net Electric,Fusion Fleet Thermal Power,Fusion Fleet Magnet & station power,Salt Heating,Tritium exports,Fusion Fleet Tritium Inventory,Var plant power,,Fusion Fleet Fusion Power
-29096.91889,0,654.4367108,11625.04763,7.19E-16,7857.984213,29093.35578,3767.063414,33.08924065,6.38E-12,117817.6687,2424.446315,,22379.50444
-30230.44007,0,654.4367108,12078.32132,8.02E-16,8217.141505,30226.86562,3861.179813,32.74648621,8.20E-12,120836.7808,2518.905469,,23251.43509
-31167.23672,0,654.4367108,12440.59256,7.13E-16,8534.093631,31163.6529,3906.498933,1.71E-11,6.83E-12,123949.5623,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.94E-16,8534.093631,31163.6529,3906.498933,1.67E-11,-1.81E-12,127062.3438,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.07E-16,8534.093631,31163.6529,3906.498933,1.68E-11,8.20E-12,130175.1252,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.05E-16,8534.093631,31163.6529,3906.498933,1.68E-11,-1.59E-11,133287.9067,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.14E-16,8534.093631,31163.6529,3906.498933,1.68E-11,-1.64E-11,136400.6882,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.25E-16,8534.093631,31163.6529,3906.498933,1.66E-11,-4.99E-12,139513.4697,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.27E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.77E-11,142626.2511,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.26E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-2.00E-11,145739.0326,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.15E-16,8534.093631,31163.6529,3906.498933,1.62E-11,-1.55E-11,148851.8141,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.15E-16,8534.093631,31163.6529,3906.498933,1.67E-11,-1.36E-11,151964.5955,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.23E-16,8534.093631,31163.6529,3906.498933,1.70E-11,-1.23E-11,155077.377,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.15E-16,8534.093631,31163.6529,3906.498933,1.67E-11,-1.59E-11,158190.1585,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.24E-16,8534.093631,31163.6529,3906.498933,1.68E-11,-1.95E-11,161302.9399,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.25E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.55E-11,164415.7214,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.11E-16,8534.093631,31163.6529,3906.498933,1.62E-11,-2.50E-11,167528.5029,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.27E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-2.45E-11,170641.2843,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.27E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-4.44E-13,173754.0658,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.13E-16,8534.093631,31163.6529,3906.498933,1.62E-11,2.28E-12,176866.8473,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.11E-16,8534.093631,31163.6529,3906.498933,1.62E-11,-2.27E-11,179979.6288,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.09E-16,8534.093631,31163.6529,3906.498933,1.67E-11,-1.04E-11,183092.4102,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.20E-16,8534.093631,31163.6529,3906.498933,1.68E-11,-1.14E-11,186205.1917,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.18E-16,8534.093631,31163.6529,3906.498933,1.68E-11,-1.27E-11,189317.9732,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.15E-16,8534.093631,31163.6529,3906.498933,1.93E-11,-1.14E-11,192430.7546,2596.971075,,23972.04069
