Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,commercial_pv_2,residential_pv_2
86,0.262,1,0.330155749,0.397739527,1,0.518294621,1,1,0.552743642,1,1,0.518294621,0.19337693869999997,0.17569002357499997
87,0.262,1,0.328963548,0.406720432,1,0.717675969,1,1,0.552743642,1,1,0.717675969,0.1926786495428571,0.1750556023285714
88,0.262,1,0.174002261,0.41127212,1,0.759689674,1,1,0.552743642,1,1,0.759689674,0.1019156100142857,0.09259406031785712
89,0.262,1,0.0,0.34180778,1,0.756625697,1,1,0.552743642,1,1,0.756625697,0.0,0.0
90,0.262,1,0.0,0.335667752,1,0.726281555,1,1,0.552743642,1,1,0.726281555,0.0,0.0
91,0.262,1,0.0,0.391330126,1,0.765530651,1,1,0.552743642,1,1,0.765530651,0.0,0.0
92,0.262,1,0.0,0.432009052,1,0.799010953,1,1,0.552743642,1,1,0.799010953,0.0,0.0
93,0.262,1,0.0,0.403145802,1,0.792378038,1,1,0.552743642,1,1,0.792378038,0.0,0.0
94,0.262,1,0.0,0.381833796,1,0.799010953,1,1,0.552743642,1,1,0.799010953,0.0,0.0
95,0.262,1,0.0,0.437965066,1,0.767633324,1,1,0.552743642,1,1,0.767633324,0.0,0.0
96,0.262,1,0.0,0.488099033,1,0.803229113,1,1,0.552743642,1,1,0.803229113,0.0,0.0
97,0.262,1,0.0,0.423134575,1,0.803795105,1,1,0.552743642,1,1,0.803795105,0.0,0.0
98,0.262,1,0.0,0.438481733,1,0.794179376,1,1,0.552743642,1,1,0.794179376,0.0,0.0
99,0.262,1,0.0,0.433625024,1,0.793259563,1,1,0.552743642,1,1,0.793259563,0.0,0.0
100,0.262,1,0.0,0.416261577,1,0.736592192,1,1,0.552743642,1,1,0.736592192,0.0,0.0
101,0.262,1,0.0,0.39468328,1,0.512913751,1,1,0.552743642,1,1,0.512913751,0.0,0.0
102,0.262,1,0.0,0.326543529,1,0.402093703,1,1,0.552743642,1,1,0.402093703,0.0,0.0
103,0.262,1,0.0,0.33061196,1,0.22478829,1,1,0.552743642,1,1,0.22478829,0.0,0.0
104,0.262,1,0.023472894,0.258847772,1,0.137696944,1,1,0.552743642,1,1,0.137696944,0.013748409342857142,0.012490932878571427
105,0.262,1,0.150113473,0.153308918,1,0.113202285,1,1,0.552743642,1,1,0.113202285,0.0879236056142857,0.07988181241785712
106,0.262,1,0.384150866,0.127309706,1,0.101183677,1,1,0.552743642,1,1,0.101183677,0.22500265008571424,0.2044231394071428
107,0.262,1,0.515976153,0.137906347,1,0.192447726,1,1,0.552743642,1,1,0.192447726,0.30221460389999993,0.2745730242749999
108,0.262,1,0.74072184,0.109052093,1,0.205980221,1,1,0.552743642,1,1,0.205980221,0.43385136342857133,0.39416983628571417
109,0.262,1,0.799534591,0.203819939,1,0.17789733,1,1,0.552743642,1,1,0.17789733,0.4682988318714285,0.4254666216392856
110,0.262,1,0.547672319,0.229246492,1,0.328683035,1,1,0.552743642,1,1,0.328683035,0.3207795011285714,0.2914399126107142
111,0.262,1,0.309546385,0.306160697,1,0.571096489,1,1,0.552743642,1,1,0.571096489,0.18130573978571424,0.1647228977321428
112,0.262,1,0.064706095,0.312997093,1,0.541398893,1,1,0.552743642,1,1,0.541398893,0.03789928421428571,0.034432886267857135
113,0.262,1,0.0,0.226418063,1,0.525605439,1,1,0.552743642,1,1,0.525605439,0.0,0.0
114,0.262,1,0.0,0.178171028,1,0.415031157,1,1,0.552743642,1,1,0.415031157,0.0,0.0
115,0.262,1,0.0,0.191017234,1,0.354793379,1,1,0.552743642,1,1,0.354793379,0.0,0.0
116,0.262,1,0.0,0.171263949,1,0.299979296,1,1,0.552743642,1,1,0.299979296,0.0,0.0
117,0.262,1,0.0,0.230642802,1,0.288410679,1,1,0.552743642,1,1,0.288410679,0.0,0.0
118,0.262,1,0.0,0.216253827,1,0.319590604,1,1,0.552743642,1,1,0.319590604,0.0,0.0
