Time_Index,natural_gas,solar_pv,onshore_wind,battery,offshore_wind,natural_gas_ccs,nuclear,fusion,ROR_NY,Res_QC
131,1,0,0.5491,1,0.8302,1,1,1,0.552743642,6.26E-05
132,1,0,0.5732,1,0.787,1,1,1,0.552743642,6.26E-05
133,1,0.006799,0.5926,1,0.7397,1,1,1,0.552743642,6.26E-05
134,1,0.081589,0.6152,1,0.7066,1,1,1,0.552743642,6.26E-05
135,1,0.147343,0.6475,1,0.6731,1,1,1,0.552743642,6.26E-05
136,1,0.2612,0.6836,1,0.6378,1,1,1,0.552743642,6.26E-05
137,1,0.426444,0.7445,1,0.6208,1,1,1,0.552743642,6.26E-05
138,1,0.298463,0.7867,1,0.6771,1,1,1,0.552743642,6.26E-05
139,1,0.237142,0.7629,1,0.6954,1,1,1,0.552743642,6.26E-05
140,1,0.180471,0.7554,1,0.7641,1,1,1,0.552743642,6.26E-05
141,1,0.069769,0.7545,1,0.7499,1,1,1,0.552743642,6.26E-05
142,1,0.0048,0.7824,1,0.7595,1,1,1,0.552743642,6.26E-05
143,1,0,0.7499,1,0.7416,1,1,1,0.552743642,6.26E-05
144,1,0,0.7978,1,0.7683,1,1,1,0.552743642,6.26E-05
145,1,0,0.7654,1,0.7713,1,1,1,0.552743642,6.26E-05
146,1,0,0.7864,1,0.7668,1,1,1,0.552743642,6.26E-05
147,1,0,0.7932,1,0.7823,1,1,1,0.552743642,6.26E-05
148,1,0,0.787,1,0.7768,1,1,1,0.552743642,6.26E-05
149,1,0,0.7974,1,0.7875,1,1,1,0.552743642,6.26E-05
150,1,0,0.7952,1,0.7871,1,1,1,0.552743642,6.26E-05
151,1,0,0.7804,1,0.7756,1,1,1,0.552743642,6.26E-05
152,1,0,0.7792,1,0.7768,1,1,1,0.552743642,6.26E-05
153,1,0,0.7971,1,0.741,1,1,1,0.552743642,6.26E-05
154,1,0,0.7967,1,0.7461,1,1,1,0.552743642,6.26E-05
155,1,0,0.7339,1,0.7154,1,1,1,0.552743642,6.26E-05
156,1,0,0.6991,1,0.6921,1,1,1,0.552743642,6.26E-05
157,1,0.006201,0.71,1,0.6321,1,1,1,0.552743642,6.26E-05
158,1,0.106156,0.6667,1,0.6014,1,1,1,0.552743642,6.26E-05
159,1,0.328555,0.727,1,0.6014,1,1,1,0.552743642,6.26E-05
160,1,0.380833,0.7295,1,0.5969,1,1,1,0.552743642,6.26E-05
161,1,0.467298,0.7233,1,0.6051,1,1,1,0.552743642,6.26E-05
162,1,0.464925,0.7682,1,0.6167,1,1,1,0.552743642,6.26E-05
163,1,0.353049,0.7963,1,0.6517,1,1,1,0.552743642,6.26E-05
164,1,0.270958,0.811,1,0.6717,1,1,1,0.552743642,6.26E-05
165,1,0.097836,0.7944,1,0.7302,1,1,1,0.552743642,6.26E-05
166,1,0.0088,0.8097,1,0.6906,1,1,1,0.552743642,6.26E-05
167,1,0,0.8061,1,0.6772,1,1,1,0.552743642,6.26E-05
168,1,0,0.8308,1,0.6478,1,1,1,0.552743642,6.26E-05
169,1,0,0.8224,1,0.6231,1,1,1,0.552743642,6.26E-05
170,1,0,0.8152,1,0.5764,1,1,1,0.552743642,6.26E-05
171,1,0,0.8099,1,0.5534,1,1,1,0.552743642,6.26E-05
172,1,0,0.81,1,0.5381,1,1,1,0.552743642,6.26E-05
173,1,0,0.7937,1,0.5327,1,1,1,0.552743642,6.26E-05
174,1,0,0.7747,1,0.4812,1,1,1,0.552743642,6.26E-05
175,1,0,0.7921,1,0.4606,1,1,1,0.552743642,6.26E-05
176,1,0,0.7751,1,0.398,1,1,1,0.552743642,6.26E-05
177,1,0,0.7975,1,0.3816,1,1,1,0.552743642,6.26E-05
178,1,0,0.7986,1,0.359,1,1,1,0.552743642,6.26E-05
179,1,0,0.7935,1,0.312,1,1,1,0.552743642,6.26E-05
180,1,0,0.7878,1,0.2879,1,1,1,0.552743642,6.26E-05
181,1,0.0114,0.7701,1,0.2487,1,1,1,0.552743642,6.26E-05
