Greenfield_year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2011,4.163567649109597e-08,2.4284575707393182e-08,3.2062805256125743e-06,2.7112740358292163e-08,3.293683394403629e-07,2.0262972314168175e-08,3.80129005897083e-08,1.6375664727878718e-08,1.5223199938322916e-08,1.467821943990011e-08,9.328867235958763e-09,5.299721334143883e-08,1.040786831411376,1.601197761717841e-08,1.1320415184236697e-08,2.0262972314168175e-08,4.4738178664241825e-08,1.3059950127084145e-09,9.378362653737806e-09,1.6281037215612995e-06
2012,4.163526906757147e-08,2.4283808726424706e-08,3.206199048493505e-06,2.7107376242453275e-08,3.293641657655945e-07,2.0259665286605936e-08,3.802243426923082e-08,1.637541830475567e-08,1.5221493334587007e-08,1.4678833469181788e-08,9.328766202591364e-09,5.299365387130263e-08,1.0409346683184355,1.601176037764616e-08,1.1321762786090343e-08,2.0259665286605936e-08,4.4737426103742526e-08,1.305992770125062e-09,9.380725984871403e-09,1.6280856681946116e-06
2013,4.163060345631639e-08,2.4277522772381625e-08,3.206146230045764e-06,2.7145498636464394e-08,3.293245895321781e-07,2.028166511362803e-08,3.8027006328834974e-08,1.63735920430646e-08,1.522427226746486e-08,1.4689586669840535e-08,9.327540809248523e-09,5.3041320272917325e-08,1.0413041511014773,1.6009740597155765e-08,1.1321037623930479e-08,2.028166511362803e-08,4.47342127785294e-08,1.3058249732374778e-09,9.382811765877387e-09,1.6278834137713406e-06
2014,444.8999398130849,188.55111928582852,380.296543183877,2.7123500906841515e-08,3.2939557877922e-07,2.026911280462987e-08,3.8012107089595176e-08,1.6376796342410067e-08,1.522693667342615e-08,483.4418840313134,9.329771964537637e-09,5.300515554550126e-08,526.7144236535405,1.6012594533828343e-08,1.1320772731977841e-08,2.026911280462987e-08,4.474175223872252e-08,1.3060813456259189e-09,9.37937306039928e-09,1.6281034173466687e-06
2015,4.163479411287339e-08,2.428421215082312e-08,3.2061537806580162e-06,2.7114124791256946e-08,3.293454457950192e-07,2.0264262204589026e-08,3.800615440230877e-08,1.637507869890059e-08,1.5224877940787007e-08,1.4671424679594979e-08,9.328163377284396e-09,5.300069263796885e-08,1.0401096463009967,1.601142398139565e-08,1.1319677215911464e-08,2.0264262204589026e-08,4.473701886162169e-08,1.3059477918360526e-09,9.37934550217239e-09,1.628027526516327e-06
2016,754.4365016147922,710.8185992561571,684.7120117258125,197.7579600860836,3.294362923399503e-07,176.58907800234735,254.94933148713253,196.31590291723182,231.07666814416208,814.25344564978,9.33042730070004e-09,5.3737757971199864e-08,859.279581601045,195.62891492100303,257.99295082446855,176.58907800234735,196.08210966811149,195.5279145559982,182.93477860197075,262.522701432839
2017,4.163515315849481e-08,2.428666619807436e-08,3.2063837077674913e-06,2.713134642268106e-08,3.2937788487636094e-07,2.0275497612696085e-08,3.801933398847432e-08,1.637506988110277e-08,1.5224765298707718e-08,1.4684002329975156e-08,9.329101107146367e-09,5.3025101191350085e-08,1.0409940265526414,1.6011169723146922e-08,1.1320987517030733e-08,2.0275497612696085e-08,4.473780148456717e-08,1.3059329542490005e-09,9.381460335197615e-09,1.6279995840005843e-06
2018,4.1635898233970945e-08,2.4281371864986618e-08,3.2061837596028066e-06,2.70987677717098e-08,3.2936077621544335e-07,2.0253824117531576e-08,3.800297695107529e-08,1.6375509599212924e-08,1.5221987751389495e-08,1.4670319826126878e-08,9.328695207607525e-09,5.297697027487214e-08,1.0402060214934572,1.6011150356504877e-08,1.1319027716570033e-08,2.0253824117531576e-08,4.4736118651000356e-08,1.3059205321748647e-09,9.375994139073417e-09,1.628022508191852e-06
2019,4.163582675686145e-08,2.428321950269257e-08,3.2061520187405343e-06,2.7098480126293155e-08,3.293640660443163e-07,2.0254585275981316e-08,3.800525812686467e-08,1.6375343348391047e-08,1.5222608942032084e-08,1.4668910878521462e-08,9.328745298767901e-09,5.298069879485008e-08,1.0399806060824777,1.6011657470277544e-08,1.1319368125860793e-08,2.0254585275981316e-08,4.473681172693592e-08,1.305964140915766e-09,9.377656569662879e-09,1.6280564606614268e-06
2020,13374.404722545962,14066.703009974066,13315.828242904128,12771.2592054305,14918.777049389679,12847.621576801848,11901.77302743098,12562.904767380309,10466.263459557415,13498.564218295009,14982.348857060508,14996.94113228972,8364.417059422321,11860.081214135836,12767.303923893744,12847.621576801848,12447.867106820488,11881.644080441069,12599.30829593584,11558.502281378442
