Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
,,,,,,,121,30119.2,2251.15335,3530.24625,1602.89116,6974.34471,2298.23865,4484.83706
,,,,,,,122,29893.0,2148.55062,3386.9896,1520.62013,6525.21538,2209.07927,4211.22683
,,,,,,,123,29905.5,2109.12563,3381.81805,1481.14028,6291.88959,2180.26457,4113.41009
,,,,,,,124,30138.7,2101.62331,3353.85519,1443.76811,6191.9432,2192.99403,4096.88949
,,,,,,,125,30688.7,2143.39201,3457.69203,1475.59617,6142.06643,2205.38966,4112.52669
,,,,,,,126,32042.3,2300.9837,3624.18573,1554.30879,6582.66053,2322.17518,4363.82449
,,,,,,,127,33708.5,2698.36521,4063.28906,1778.28824,7975.2702,2590.94656,5217.64962
,,,,,,,128,36521.3,3285.13606,4744.42154,2106.02351,10319.3002,2960.93607,6510.48315
,,,,,,,129,36557.7,3471.12926,4975.41138,2221.17552,10893.3318,3124.32613,6779.83202
,,,,,,,130,37117.6,3490.90852,5062.22552,2244.95242,10954.8476,3239.05054,6720.94461
,,,,,,,131,36802.4,3441.92163,5088.3474,2226.0323,10620.3874,3195.32662,6453.66846
,,,,,,,132,37168.9,3521.39364,5154.00747,2275.13619,10912.232,3253.84809,6599.61557
,,,,,,,133,36710.2,3557.399,5193.02824,2308.27972,11121.2283,3261.28231,6711.48172
,,,,,,,134,36574.2,3408.76057,5056.4951,2212.21449,10982.0022,3213.85503,6574.39507
,,,,,,,135,35413.2,3243.3361,4672.11181,2076.73002,11133.0987,3116.40796,6591.39932
,,,,,,,136,36082.2,3347.10478,4767.78056,2107.12613,11865.4133,3021.15339,6798.62483
,,,,,,,137,36880.2,3561.93218,5010.2168,2194.32041,12883.6419,3197.99248,7347.60199
,,,,,,,138,37124.3,3795.40645,5273.3881,2328.20573,14061.7888,3426.35762,7985.14053
,,,,,,,139,36740.4,3737.50415,5113.93189,2296.40729,13546.3333,3366.13654,7844.20451
,,,,,,,140,35825.7,3327.17924,4663.93636,2106.96765,11687.6799,3135.09927,6895.17151
,,,,,,,141,34909.5,3153.24024,4534.68964,2003.75055,11062.1898,2994.96579,6579.28369
,,,,,,,142,34006.2,2694.01,3783.17274,1697.33245,9072.64102,2663.73134,5492.35929
,,,,,,,143,33064.9,2476.16414,3586.05056,1612.44024,8159.27315,2433.92531,4978.26955
,,,,,,,144,30849.6,2307.92073,3454.45006,1512.07074,7478.9893,2389.87661,4643.28304
,,,,,,,145,29950.0,2176.96818,3340.53936,1428.46561,6931.79487,2225.30901,4388.02199
,,,,,,,146,29339.1,2007.51285,3177.07363,1361.31031,6182.6522,2109.18531,3942.0868
,,,,,,,147,29131.4,1959.01779,3162.40725,1331.89878,5931.47044,2068.55876,3803.95307
,,,,,,,148,28981.7,1933.39807,3164.54121,1292.68174,5757.89043,2038.29906,3736.47095
,,,,,,,149,29049.0,1915.42767,3177.00305,1292.37619,5599.38178,2015.48779,3662.88464
,,,,,,,150,29564.8,2036.73611,3316.49631,1364.52238,5926.16774,2176.20681,3912.15902
,,,,,,,151,30543.5,2158.91439,3527.54761,1446.11775,6248.7945,2360.60928,4150.16435
,,,,,,,152,31157.0,2350.48368,3826.91485,1568.59622,6725.21742,2562.49378,4428.61673
,,,,,,,153,32152.9,2525.842,4060.73994,1661.99352,7088.10796,2628.12244,4572.65888
,,,,,,,154,32524.0,2704.75511,4323.53758,1800.51641,7783.72129,2832.71475,4973.97181
,,,,,,,155,32846.8,2852.99674,4519.28268,1904.47734,8325.74219,2978.07524,5233.89898
,,,,,,,156,33378.5,2977.84564,4606.20639,1991.96095,8994.55146,3027.87976,5491.97816
,,,,,,,157,32580.6,3065.37105,4756.12874,2043.45454,9697.08108,3127.21971,5796.58768
,,,,,,,158,32094.0,2876.27302,4511.74248,2002.12635,9624.62789,2942.15109,5674.81685
,,,,,,,159,31500.1,2804.75347,4403.38544,1966.41401,9708.53915,2782.79603,5533.1457
,,,,,,,160,31039.7,2740.01469,4276.39058,1898.50388,9547.37745,2648.2204,5383.61864
,,,,,,,161,31622.3,2858.20968,4449.04152,1926.21167,9832.24895,2753.99395,5527.41313
,,,,,,,162,32724.5,2827.66805,4452.25246,1924.55851,9657.59544,2833.14059,5453.79338
,,,,,,,163,32002.4,3101.85807,4682.55766,2089.62112,10987.1138,3048.60801,6274.38267
,,,,,,,164,31265.6,3094.04432,4595.80499,2044.67162,10864.7609,3025.93831,6285.43792
,,,,,,,165,30513.7,2979.34886,4507.08808,1968.70101,10264.3506,2960.51511,6081.35567
,,,,,,,166,29903.1,2878.37058,4386.06865,1902.45153,9768.33719,2933.68238,5871.80098
,,,,,,,167,28681.4,2728.36898,4142.33918,1816.91799,9121.11556,2773.95773,5543.15401
,,,,,,,168,27948.2,2505.37076,3882.75204,1679.02834,8100.75841,2545.86451,5028.71275
,,,,,,,169,26730.4,2268.1202,3595.218,1532.7166,6746.02568,2283.44189,4323.21145
,,,,,,,170,26472.8,2127.15675,3412.90884,1458.46764,6038.98631,2173.5253,3894.05442
,,,,,,,171,26327.5,2121.80165,3466.85491,1465.87679,5791.00461,2159.73979,3808.22303
,,,,,,,172,26382.4,2109.63304,3468.34023,1447.04499,5588.2902,2153.39586,3775.86546
,,,,,,,173,26693.0,2110.29027,3525.64166,1466.61458,5468.3135,2144.91142,3761.37002
,,,,,,,174,27546.8,2212.07204,3688.34468,1546.63971,5672.52287,2261.98098,3902.93223
,,,,,,,175,28544.8,2304.91768,3844.06793,1608.76475,5866.65137,2384.91535,4053.02833
,,,,,,,176,29510.7,2391.24918,4107.76948,1678.23106,6233.49855,2462.62788,4253.04349
,,,,,,,177,30375.3,2439.01513,4126.90018,1730.12908,6377.03468,2487.20139,4338.85766
,,,,,,,178,31233.4,2597.55823,4286.98841,1792.27403,6900.09994,2604.15846,4642.2906
,,,,,,,179,31090.8,2706.12915,4352.75989,1885.83995,7355.33219,2600.46713,4893.72923
,,,,,,,180,30903.1,2842.24324,4434.36521,1952.58554,7986.2607,2692.46776,5263.88919
,,,,,,,181,30585.7,2939.15361,4511.08329,2005.14115,8607.48353,2802.72951,5545.05468
,,,,,,,182,29992.7,2814.51433,4228.75589,1883.26879,8634.638,2621.4348,5411.18477
,,,,,,,183,29925.5,2673.7928,3957.64071,1766.99572,8775.84177,2413.34946,5324.18874
,,,,,,,184,30009.4,2586.65267,3857.06042,1695.70345,8752.51846,2351.52461,5224.35359
,,,,,,,185,32616.9,2656.0607,3960.09056,1767.1586,9008.9632,2416.79099,5373.16627
,,,,,,,186,34162.5,2683.54906,4035.4627,1777.42401,8951.41198,2540.58196,5350.46949
