Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,Total
t40,5.2822040723797634e-14,0.0,0.0,0.0,0.0,7.35604851813855e-14,0.0,1.2638252590518313e-13
t41,5.81040639606441e-14,0.0,0.0,0.0,0.0,7.688035349793211e-14,0.0,1.349844174585762e-13
t42,6.45598262849562e-14,0.0,0.0,0.0,0.0,7.984140551184712e-14,0.0,1.4440123179680332e-13
t43,7.262946237792781e-14,0.0,0.0,0.0,0.0,8.261985963825662e-14,0.0,1.5524932201618443e-13
t44,8.300460499048139e-14,0.0,0.0,0.0,0.0,8.54057033915347e-14,0.0,1.6841030838201609e-13
t45,9.683795460063341e-14,0.0,0.0,0.0,0.0,8.843840377233119e-14,0.0,1.852763583729646e-13
t46,1.1620427253928863e-13,0.0,0.0,0.0,0.0,9.202752027391947e-14,0.0,2.082317928132081e-13
t47,1.4525292658969865e-13,0.0,0.0,0.0,0.0,9.660087224216198e-14,0.0,2.418537988318606e-13
t48,1.9366520442633148e-13,0.0,0.0,0.0,0.0,1.0280697613519625e-13,0.0,2.9647218056152774e-13
t49,2.9048200898076467e-13,0.0,0.0,0.0,0.0,1.1167383010316099e-13,0.0,4.0215583908392566e-13
t50,5.808736071714489e-13,0.0,0.0,0.0,0.0,1.2516038615208058e-13,0.0,7.060339933235295e-13
t51,0.003837906694385262,0.0,0.0,0.0,0.0,1.476923952136938e-13,0.0,0.003837906694532954
t52,1.3998826488455203,0.0,0.0,0.0,0.0,1.5933794422119026e-13,0.0,1.3998826488456797
t53,1.6866675752385745,0.0,0.0,0.0,0.0,1.8334888862745302e-13,0.0,1.6866675752387579
t54,2.35103719749016,0.0,0.0,0.0,0.0,2.332404274462196e-13,0.0,2.351037197490393
t55,1.4021423138732234,0.0,0.0,0.0,0.0,3.681143766134762e-13,0.0,1.4021423138735916
t56,1.5205055299006818,0.0,0.0,0.0,0.0,3.001470972862968,0.0,4.52197650276365
t57,1.1329019047533143e-13,0.0,0.0,0.0,0.0,2.3312009839082344,0.0,2.3312009839083476
t58,6.579776821240905e-14,0.0,0.0,0.0,0.0,1.0160568382862554,0.0,1.016056838286321
t59,5.03279461444137e-14,0.0,0.0,0.0,0.0,0.7452773534474206,0.0,0.7452773534474709
t60,4.300433811419473e-14,0.0,0.0,0.0,0.0,0.5620379478228675,0.0,0.5620379478229105
t61,3.910269377839621e-14,0.0,0.0,0.0,0.0,0.437222339952905,0.0,0.4372223399529441
t62,3.7032419816442885e-14,0.0,0.0,0.0,0.0,0.301720984915869,0.0,0.30172098491590604
t63,3.4652208410322645e-14,0.0,0.0,0.0,0.0,8.605225365499434e-13,0.0,8.95174744960266e-13
t64,3.293067892125447e-14,0.0,0.0,0.0,0.0,4.3015167519150836e-13,0.0,4.630823541127628e-13
t65,3.159995979401228e-14,0.0,0.0,0.0,0.0,2.8670851747317226e-13,0.0,3.1830847726718454e-13
t66,3.156215335125515e-14,0.0,0.0,0.0,0.0,2.867073810264791e-13,0.0,3.1826953437773423e-13
t67,3.166032530856429e-14,0.0,0.0,0.0,0.0,2.8670820892249946e-13,0.0,3.1836853423106376e-13
t68,3.1822889956529126e-14,0.0,0.0,0.0,0.0,2.8670816254548105e-13,0.0,3.1853105250201017e-13
t69,3.2091512765924615e-14,0.0,0.0,0.0,0.0,2.867091780153553e-13,0.0,3.188006907812799e-13
t70,3.2465504294751214e-14,0.0,0.0,0.0,0.0,2.8670788511168854e-13,0.0,3.1917338940643975e-13
t71,3.173258429121715e-14,0.0,0.0,0.0,0.0,2.1500812047227832e-13,0.0,2.4674070476349547e-13
t72,3.1081740125393815e-14,0.0,0.0,0.0,0.0,1.7199548527626537e-13,0.0,2.030772254016592e-13
t73,3.0477273451069295e-14,0.0,0.0,0.0,0.0,1.4332346719346906e-13,0.0,1.7380074064453836e-13
t74,3.094255023564482e-14,0.0,0.0,0.0,0.0,1.4332338078856042e-13,0.0,1.7426593102420524e-13
t75,3.026303410240981e-14,0.0,0.0,0.0,0.0,1.2284492233286146e-13,0.0,1.5310795643527126e-13
t76,3.05274836647432e-14,0.0,0.0,0.0,0.0,1.2284494613208845e-13,0.0,1.5337242979683165e-13
t77,3.0647735789954315e-14,0.0,0.0,0.0,0.0,1.2284499763369756e-13,0.0,1.5349273342365187e-13
t78,3.061449653778524e-14,0.0,0.0,0.0,0.0,1.228450650222409e-13,0.0,1.5345956156002615e-13
t79,3.417316631825627e-14,0.0,0.0,0.0,0.0,1.4176899136495086e-13,0.0,1.7594215768320713e-13
t80,3.393841090682636e-14,0.0,0.0,0.0,0.0,1.4176899824766224e-13,0.0,1.757074091544886e-13
t81,3.368546976959587e-14,0.0,0.0,0.0,0.0,1.4176919761152815e-13,0.0,1.7545466738112402e-13
t82,3.342856269316623e-14,0.0,0.0,0.0,0.0,1.4176950056368746e-13,0.0,1.751980632568537e-13
t83,3.3216360323681805e-14,0.0,0.0,0.0,0.0,1.4176995745850147e-13,0.0,1.7498631778218327e-13
t84,3.331421650596825e-14,0.0,0.0,0.0,0.0,1.417692396987879e-13,0.0,1.7508345620475616e-13
t85,3.242375142716173e-14,0.0,0.0,0.0,0.0,1.217011412786374e-13,0.0,1.5412489270579913e-13
t86,3.167269295493983e-14,0.0,0.0,0.0,0.0,1.0661000096855871e-13,0.0,1.3828269392349854e-13
