Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
t160,9.967471882456918e-13,0.0,0.0,0.0,0.0,7.394374339773036e-13,0.0
t161,9.96899761422232e-13,0.0,0.0,0.0,0.0,7.39436435437335e-13,0.0
t162,9.968563198961698e-13,0.0,0.0,0.0,0.0,7.394363580097141e-13,0.0
t163,9.96764655096972e-13,0.0,0.0,0.0,0.0,7.394366030863724e-13,0.0
t164,9.967818421854292e-13,0.0,0.0,0.0,0.0,7.394369982698421e-13,0.0
t165,9.969033392364616e-13,0.0,0.0,0.0,0.0,7.394377695799877e-13,0.0
t166,9.97246342015269e-13,0.0,0.0,0.0,0.0,7.394393364379118e-13,0.0
t167,9.974962890559373e-13,0.0,0.0,0.0,0.0,7.394407392342806e-13,0.0
t168,9.975389173646092e-13,0.0,0.0,0.0,0.0,7.394412940797386e-13,0.0
t169,9.975304150981068e-13,0.0,0.0,0.0,0.0,7.394414313015576e-13,0.0
t170,9.975417071590244e-13,0.0,0.0,0.0,0.0,7.394416006789889e-13,0.0
t171,9.97771649802725e-13,0.0,0.0,0.0,0.0,7.39441734014093e-13,0.0
t172,9.977335173418642e-13,0.0,0.0,0.0,0.0,7.39441518048402e-13,0.0
t173,9.976330849885882e-13,0.0,0.0,0.0,0.0,7.394411053477285e-13,0.0
t174,9.975211006068309e-13,0.0,0.0,0.0,0.0,7.394406138436259e-13,0.0
t175,9.974632963380609e-13,0.0,0.0,0.0,0.0,7.394399521375998e-13,0.0
t176,9.975731456442345e-13,0.0,0.0,0.0,0.0,7.394384697484648e-13,0.0
t177,9.974671286373011e-13,0.0,0.0,0.0,0.0,7.394379094547818e-13,0.0
t178,9.973396936545252e-13,0.0,0.0,0.0,0.0,7.394383145058958e-13,0.0
t179,9.972390884093342e-13,0.0,0.0,0.0,0.0,7.394394513988529e-13,0.0
t180,9.972470412417942e-13,0.0,0.0,0.0,0.0,7.394392780259324e-13,0.0
t181,9.970418783074969e-13,0.0,0.0,0.0,0.0,7.39440284571355e-13,0.0
t182,9.968237938607737e-13,0.0,0.0,0.0,0.0,7.394405971136913e-13,0.0
t183,9.967285879348744e-13,0.0,0.0,0.0,0.0,7.394404485764551e-13,0.0
t184,9.967205359850839e-13,0.0,0.0,0.0,0.0,7.394395216506819e-13,0.0
t185,9.96754961472839e-13,0.0,0.0,0.0,0.0,7.394385558693403e-13,0.0
t186,9.968334934095878e-13,0.0,0.0,0.0,0.0,7.394386719380831e-13,0.0
t187,9.968141153806634e-13,0.0,0.0,0.0,0.0,7.39438725462459e-13,0.0
t188,9.968492679386702e-13,0.0,0.0,0.0,0.0,7.394393338790285e-13,0.0
t189,9.969800910739147e-13,0.0,0.0,0.0,0.0,7.394403168318125e-13,0.0
t190,9.971007322204877e-13,0.0,0.0,0.0,0.0,7.394418042390387e-13,0.0
t191,9.974641569396653e-13,0.0,0.0,0.0,0.0,7.394457987291651e-13,0.0
t192,9.976044774107378e-13,0.0,0.0,0.0,0.0,7.394462722923405e-13,0.0
t193,9.976160546322454e-13,0.0,0.0,0.0,0.0,7.394451012440619e-13,0.0
t194,9.975673830375576e-13,0.0,0.0,0.0,0.0,7.394434194382249e-13,0.0
t195,9.975368803235765e-13,0.0,0.0,0.0,0.0,7.394421339211776e-13,0.0
t196,9.977099959255468e-13,0.0,0.0,0.0,0.0,7.394414191618549e-13,0.0
t197,9.976278669773607e-13,0.0,0.0,0.0,0.0,7.39440752110174e-13,0.0
t198,9.974987852661687e-13,0.0,0.0,0.0,0.0,7.39440867735548e-13,0.0
t199,9.973587660567569e-13,0.0,0.0,0.0,0.0,7.394419810184957e-13,0.0
t200,9.97210948988e-13,0.0,0.0,0.0,0.0,7.394442848548476e-13,0.0
t201,9.971988589633162e-13,0.0,0.0,0.0,0.0,7.394468420996346e-13,0.0
t202,9.970685396571653e-13,0.0,0.0,0.0,0.0,7.394515519097053e-13,0.0
t203,9.969693810640118e-13,0.0,0.0,0.0,0.0,7.394582904995491e-13,0.0
t204,9.969237488096543e-13,0.0,0.0,0.0,0.0,7.394672339004382e-13,0.0
t205,9.970055865919192e-13,0.0,0.0,0.0,0.0,7.394773411266648e-13,0.0
t206,9.973376308782493e-13,0.0,0.0,0.0,0.0,7.394881738134497e-13,0.0
t207,9.976627288847798e-13,0.0,0.0,0.0,0.0,7.395060812114047e-13,0.0
t208,9.981564855337116e-13,0.0,0.0,0.0,0.0,7.395334557067733e-13,0.0
t209,9.98756817018675e-13,0.0,0.0,0.0,0.0,7.395773768731001e-13,0.0
t210,9.99548908311179e-13,0.0,0.0,0.0,0.0,7.396463782581698e-13,0.0
t211,1.0007673994142722e-12,0.0,0.0,0.0,0.0,7.397524081147336e-13,0.0
