1,2,3,4,5,6,7
-1.4741781951016093e-33,-8.051400054371208e-20,-5.933203641375825e-20,-2.5669383621306824e-20,-3.4684212823634623e-20,-1.9502354690202642e-33,NaN
-1.485091303246979e-33,-8.053646019400381e-20,-5.982713006162194e-20,-2.5863376575979444e-20,-3.49319573603765e-20,-1.964691061721016e-33,NaN
-1.4956629815126013e-33,-8.055240879317459e-20,-6.032195981164622e-20,-2.6053924761812863e-20,-3.51750406210791e-20,-1.978694921722811e-33,NaN
-1.5061648019625553e-33,-8.055548725227809e-20,-6.079708633738446e-20,-2.6239838459665e-20,-3.539518333356656e-20,-1.9925758778207262e-33,NaN
-1.516654387150811e-33,-8.055548725227809e-20,-6.127138431915251e-20,-2.6418556830396657e-20,-3.561239654780942e-20,-2.0064382142084684e-33,NaN
-1.5266575928978195e-33,-8.055548725227809e-20,-6.173365212562556e-20,-2.659615563240984e-20,-3.582957939740307e-20,-2.0196713601399828e-33,NaN
-1.536613302263593e-33,-8.055548725227809e-20,-6.217974305883916e-20,-2.6763500169458393e-20,-3.6046602487710856e-20,-2.0328339335598683e-33,NaN
-1.5465230528502022e-33,-8.055548725227809e-20,-6.262387368733099e-20,-2.6930188316014078e-20,-3.6260497010834425e-20,-2.0459444018588876e-33,NaN
-1.5562559437675425e-33,-8.055548725227809e-20,-6.305327852792166e-20,-2.7086150677809342e-20,-3.6471322450851084e-20,-2.058819588053051e-33,NaN
-1.5659579850523923e-33,-8.055548725227809e-20,-6.347741341482744e-20,-2.723963108994795e-20,-3.668154518674411e-20,-2.0716716057405243e-33,NaN
-1.5751638962726038e-33,-8.055548725227809e-20,-6.38765562386959e-20,-2.7391494851895235e-20,-3.688980905273559e-20,-2.08369406034845e-33,NaN
-1.5842740016607618e-33,-8.055548725227809e-20,-6.426820493928892e-20,-2.753755771627175e-20,-3.7096638614054044e-20,-2.0954418780528555e-33,NaN
-1.593004562081831e-33,-8.055548725227809e-20,-6.465890641371201e-20,-2.76822379849858e-20,-3.730066799904322e-20,-2.1069460447231086e-33,NaN
-1.601685074246329e-33,-8.055548725227809e-20,-6.503541250422217e-20,-2.782641120585975e-20,-3.7500339665374625e-20,-2.118399224787117e-33,NaN
-1.6096627412102795e-33,-8.055548725227809e-20,-6.540950952546357e-20,-2.796554881124075e-20,-3.769268321492102e-20,-2.1289684982698032e-33,NaN
-1.6173888709600233e-33,-8.055548725227809e-20,-6.576028943022842e-20,-2.810143473939235e-20,-3.7854345844682763e-20,-2.1392048654281014e-33,NaN
-1.6250941272752612e-33,-8.055548725227809e-20,-6.609421205769464e-20,-2.823680958052995e-20,-3.801540352926242e-20,-2.1494142401386613e-33,NaN
-1.6325837780340795e-33,-8.055548725227809e-20,-6.642521690179084e-20,-2.836276624512921e-20,-3.817005198575163e-20,-2.1593300421889845e-33,NaN
-1.640064609500583e-33,-8.055548725227809e-20,-6.674617161795403e-20,-2.8485880004452176e-20,-3.832265553568932e-20,-2.169241294623646e-33,NaN
-1.6474040477144065e-33,-8.055548725227809e-20,-6.705707863026022e-20,-2.859945907860729e-20,-3.847402283053796e-20,-2.1789684454630987e-33,NaN
-1.654109983232795e-33,-8.055548725227809e-20,-6.736196369671721e-20,-2.870818212678769e-20,-3.862377492726181e-20,-2.187853690436742e-33,NaN
