1,2,3,4,5,6,7
-3.894859385886283e-24,-7.110844022782827e-11,-1.2181298301245335e-10,-1.2915413583433995e-11,-1.5797053256435792e-24,-1.7504228782066626e-24,-0.0
-3.949942652878362e-24,-7.163480889760997e-11,-1.237005565356245e-10,-1.3095704913994347e-11,-1.6017588047566626e-24,-1.7752109652324393e-24,-0.0
-4.003403796758799e-24,-7.204435991212617e-11,-1.2557499521828258e-10,-1.3273220205797448e-11,-1.6236176967557157e-24,-1.7990088183353687e-24,-0.0
-4.055218370381116e-24,-7.239438788522706e-11,-1.2727597790049712e-10,-1.3439155397280178e-11,-1.6450807916840722e-24,-1.822321220740127e-24,-0.0
-4.106760328740126e-24,-7.272867769348306e-11,-1.289751249917881e-10,-1.3603156784068174e-11,-1.666134389545772e-24,-1.845489332782839e-24,-0.0
-4.157471076438901e-24,-7.304020622875334e-11,-1.30631157024888e-10,-1.3760106673611796e-11,-1.6868717675362155e-24,-1.86809431683879e-24,-0.0
-4.206855459114248e-24,-7.330339614525391e-11,-1.3227060363434392e-10,-1.3913514741262803e-11,-1.707205974387601e-24,-1.8903211405009584e-24,-0.0
-4.254917687542095e-24,-7.35649519708782e-11,-1.3389884871648736e-10,-1.4065585735879997e-11,-1.7274990203352323e-24,-1.9119291227833043e-24,-0.0
-4.302952269333046e-24,-7.381429332825068e-11,-1.355255349182163e-10,-1.4217628865503488e-11,-1.7475620791804504e-24,-1.9335325283444864e-24,-0.0
-4.350327390887009e-24,-7.404386741748213e-11,-1.3710377088681213e-10,-1.4367445538836099e-11,-1.7674864039399908e-24,-1.9548615930631196e-24,-0.0
-4.396657703526876e-24,-7.42670914780392e-11,-1.3867652135309012e-10,-1.4513569608118783e-11,-1.7860769748007e-24,-1.97559087261297e-24,-0.0
-4.442719498023296e-24,-7.44025302289108e-11,-1.402255487418105e-10,-1.465893988570567e-11,-1.8038488264458964e-24,-1.9962387436267784e-24,-0.0
-4.487971825907253e-24,-7.453737566049771e-11,-1.4175339949640621e-10,-1.480428880180425e-11,-1.8205764303362377e-24,-2.0165409650804796e-24,-0.0
-4.532918976372964e-24,-7.465969198769595e-11,-1.4327756710912549e-10,-1.494934053420402e-11,-1.8367389629917043e-24,-2.0367665099969036e-24,-0.0
-4.577058939519748e-24,-7.475738417374574e-11,-1.4479605572153896e-10,-1.5092878113338533e-11,-1.8525701711157665e-24,-2.05663563356411e-24,-0.0
-4.619767042263041e-24,-7.48320333581438e-11,-1.4631249512132285e-10,-1.5235032074876866e-11,-1.8683347890763244e-24,-2.0757921663715477e-24,-0.0
-4.6622717532678754e-24,-7.490004564739204e-11,-1.4779452574815734e-10,-1.5374188971389528e-11,-1.883819556883928e-24,-2.0948844431508246e-24,-0.0
-4.703711256962847e-24,-7.495583724436478e-11,-1.4924813537279936e-10,-1.5508003402570778e-11,-1.8988514880052126e-24,-2.113531538356928e-24,-0.0
