Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State
3.2989174753979054e-6,2.322203229709885e-8,66.77318142515271,66.77318140193067,2.509863620082937e-8,2.5223752953578362,14.306466427921603,171.67766580612556,166.93295356288178,0.4194943035439353,1264.1149035377432,0.4658139936934203,1434.7132383012042,0.2522375295357836
3.296271701924774e-6,2.2957840961623788e-8,66.77318142476106,66.77318140180324,2.5089646771253914e-8,2.522375295320267,14.306466427840725,171.67766580515502,166.93295356190268,0.411893256314241,1263.0735701625763,0.47168056658305707,1435.6529574860924,0.2522375295320267
3.29549069917649e-6,2.2898294815831832e-8,66.77318142465438,66.77318140175608,2.508271477812273e-8,2.5223752953017247,14.306466427819046,171.67766580489487,166.93295356163597,0.4042943213281794,1262.7771883227215,0.4775534316402794,1437.008628762549,0.2522375295301725
3.2938634590172693e-6,2.2733405380392924e-8,66.77318142444021,66.77318140170681,2.508165413546273e-8,2.522375295298038,14.30646642777451,171.67766580436043,166.9329535611005,0.3966924525987575,1263.2055891741697,0.4834344682097442,1438.769211944797,0.2522375295298038
3.2926861001605545e-6,2.2517073983152613e-8,66.77318142410338,66.77318140158631,2.506129819849336e-8,2.522375295266468,14.306466427705951,171.67766580353774,166.93295356025848,0.38908222184273916,1264.4136888184876,0.4893256517475555,1440.9554146072478,0.2522375295266468
3.2920147768581822e-6,2.2483296113762208e-8,66.77318142402085,66.77318140153756,2.5049094745525513e-8,2.522375295246145,14.306466427689722,171.677665803343,166.93295356005214,0.38145841260840363,1266.371065664063,0.49522887753247774,1443.5499622400328,0.25223752952461453
3.293581243842474e-6,2.272213217580088e-8,66.77318142435904,66.77318140163689,2.5056678012855704e-8,2.5223752952680427,14.306466427759576,171.67766580418123,166.93295356089757,0.3738155951142488,1269.1083663284403,0.5011460859661457,1446.5625767364722,0.2522375295268043
3.2976731829453634e-6,2.312766245182729e-8,66.77318142498973,66.77318140186208,2.5075824067327713e-8,2.5223752953441965,14.306466427889456,171.6776658057398,166.93295356247432,0.3661480625209593,1272.6653912553566,0.5070792780390194,1450.0063121875328,0.25223752953441964
3.305584372856201e-6,2.3159140383199883e-8,66.77318142558362,66.77318140242448,2.5180821025240842e-8,2.522375295686187,14.30646642800487,171.67766580712475,166.93295356395905,0.35844988111959253,1277.0747323207615,0.5130304972291344,1453.8903227010087,0.25223752956861867
3.30024731416515e-6,2.2253443976438803e-8,66.77318142472397,66.77318140247053,2.5187586883607288e-8,2.5223752959051082,14.306466427825242,171.67766580496922,166.93295356180994,0.35071469321065185,1282.3972952395832,0.519001874708221,1458.233502211331,0.2522375295905108
3.3037807362606194e-6,2.2438495950183324e-8,66.77318142496024,66.77318140252174,2.5162495678957595e-8,2.5223752959301993,14.306466427876451,171.67766580558373,166.9329535624006,0.342938312121147,1288.3212486415955,0.5249948881717125,1462.8950567879015,0.2522375295930199
3.302812385664633e-6,2.2486061901361154e-8,66.77318142399477,66.77318140150871,2.4984177432836768e-8,2.522375295282516,14.306466427689429,171.67766580333947,166.93295355998694,0.3351162610718848,1294.8882660350046,0.5310110776013537,1467.8884062462657,0.2522375295282516
3.295866017393884e-6,2.1845779407669852e-8,66.77318142298856,66.77318140114278,2.495788620114964e-8,2.5223752951504173,14.306466427481881,171.6776658008489,166.9329535574714,0.3272419408187179,1302.4032136140481,0.537052577435426,1473.3416284955488,0.25223752951504175
3.2949778898438044e-6,2.169416513098099e-8,66.77318142276346,66.7731814010693,2.4949882746333945e-8,2.5223752951311957,14.30646642743562,171.67766580029377,166.93295355690867,0.31930828173726633,1310.933660934178,0.543121628317474,1479.2776058630852,0.25223752951311956
3.293776598305302e-6,2.1608550504481627e-8,66.773181422656,66.77318140104744,2.4955832350845012e-8,2.5223752951262517,14.30646642741276,171.67766580001944,166.93295355664,0.3113085611003841,1320.4297876359083,0.5492202789676798,1485.6549877337561,0.2522375295126252
3.2953178645543035e-6,2.1571183062008004e-8,66.77318142260002,66.77318140102885,2.4943251231418233e-8,2.5223752951308986,14.306466427402095,171.67766579989146,166.93295355650005,0.303234853421314,1331.0643593221891,0.5553508457320452,1492.5314351013137,0.25223752951308986
3.296388379014358e-6,2.14980642176954e-8,66.7731814225605,66.77318140106243,2.4949688798393802e-8,2.522375295166792,14.30646642739335,171.67766579978652,166.93295355640123,0.2950799723438018,1342.7312176648952,0.561515382738297,1499.8504520476595,0.2522375295166792
3.313412444688927e-6,2.2715092029557127e-8,66.77318142477938,66.77318140206428,2.509326320306548e-8,2.5223752955741716,14.306466427844251,171.67766580519734,166.93295356194844,0.28683568027562595,1355.5813644726738,0.5677162012872051,1507.66744748196,0.2522375295574172
3.3052198640433077e-6,2.2619645712040892e-8,66.77318142520866,66.77318140258902,2.518380748774071e-8,2.5223752959260954,14.306466427926518,171.67766580618454,166.93295356302167,0.2784950615580038,1369.4249302992957,0.5739551541468664,1515.883628797672,0.25223752959260953
3.296882267243668e-6,2.214027539082508e-8,66.7731814245893,66.77318140244901,2.5175687953055022e-8,2.5223752959226093,14.306466427798124,171.67766580464382,166.93295356147323,0.2700508329996758,1384.3147123668605,0.5802341468212058,1524.51035813005,0.2522375295922609
3.2931431435910526e-6,2.2438660707280178e-8,66.773181424102,66.77318140166334,2.506581853911828e-8,2.5223752953396232,14.306466427705304,171.67766580352998,166.93295356025502,0.2614961230517943,1400.1915907886792,0.5865549112409748,1533.5102384861307,0.25223752953396233
