Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,natural_gas_ccs_3,solar_pv_3,onshore_wind_3,battery_3,offshore_wind_3,natural_gas_3,nuclear_3,ror_hydro_3,pumped_hydro_3,fusion_3,natural_gas_ccs_4,solar_pv_4,onshore_wind_4,battery_4,offshore_wind_4,natural_gas_4,nuclear_4,ror_hydro_4,pumped_hydro_4,fusion_4,natural_gas_ccs_5,solar_pv_5,onshore_wind_5,battery_5,offshore_wind_5,natural_gas_5,nuclear_5,ror_hydro_5,pumped_hydro_5,fusion_5,natural_gas_ccs_6,solar_pv_6,onshore_wind_6,battery_6,offshore_wind_6,natural_gas_6,nuclear_6,ror_hydro_6,pumped_hydro_6,fusion_6,natural_gas_ccs_7,solar_pv_7,onshore_wind_7,battery_7,offshore_wind_7,natural_gas_7,nuclear_7,ror_hydro_7,pumped_hydro_7,fusion_7
29,2.62E-01,1,0,0.299138602,1,0.796665295,1,1,0.552743642,1,1,1,0,0.228556155,1,0,1,1,0.552743642,1,1,1,0,0.29396196,1,0,1,1,0.552743642,1,1,1,0,0.228556155,1,0,1,1,0.552743642,1,1,1,0,0.29396196,1,0.789650803,1,1,0.552743642,1,1,1,0,0.196990445,1,0,1,1,0.552743642,1,1
30,2.62E-01,1,0,0.334300572,1,0.770198729,1,1,0.552743642,1,1,1,0,0.272837679,1,0,1,1,0.552743642,1,1,1,0,0.31734342,1,0,1,1,0.552743642,1,1,1,0,0.272837679,1,0,1,1,0.552743642,1,1,1,0,0.31734342,1,0.738304826,1,1,0.552743642,1,1,1,0,0.266257812,1,0,1,1,0.552743642,1,1
31,2.62E-01,1,0,0.393916292,1,0.747345312,1,1,0.552743642,1,1,1,0,0.318650645,1,0,1,1,0.552743642,1,1,1,0,0.34726158,1,0,1,1,0.552743642,1,1,1,0,0.318650645,1,0,1,1,0.552743642,1,1,1,0,0.34726158,1,0.688206393,1,1,0.552743642,1,1,1,0,0.339365243,1,0,1,1,0.552743642,1,1
32,2.62E-01,1,0.036432704,0.405684392,1,0.735257658,1,1,0.552743642,1,1,1,0.003111667,0.320886744,1,0,1,1,0.552743642,1,1,1,0.005625972,0.34647426,1,0,1,1,0.552743642,1,1,1,0.003111667,0.320886744,1,0,1,1,0.552743642,1,1,1,0.005625972,0.34647426,1,0.556395973,1,1,0.552743642,1,1,1,0.025701686,0.357648147,1,0,1,1,0.552743642,1,1
33,2.62E-01,1,0.210858611,0.39110436,1,0.713862376,1,1,0.552743642,1,1,1,0.084361947,0.302169234,1,0,1,1,0.552743642,1,1,1,0.118144145,0.2823336,1,0,1,1,0.552743642,1,1,1,0.084361947,0.302169234,1,0,1,1,0.552743642,1,1,1,0.118144145,0.2823336,1,0.513217288,1,1,0.552743642,1,1,1,0.164708455,0.336227369,1,0,1,1,0.552743642,1,1
34,2.62E-01,1,0.409678693,0.426604461,1,0.638743676,1,1,0.552743642,1,1,1,0.219289705,0.362956668,1,0,1,1,0.552743642,1,1,1,0.200702114,0.23249592,1,0,1,1,0.552743642,1,1,1,0.219289705,0.362956668,1,0,1,1,0.552743642,1,1,1,0.200702114,0.23249592,1,0.42367169,1,1,0.552743642,1,1,1,0.348591012,0.384582299,1,0,1,1,0.552743642,1,1
35,2.62E-01,1,0.62478209,0.360164585,1,0.588268707,1,1,0.552743642,1,1,1,0.708632832,0.237016135,1,0,1,1,0.552743642,1,1,1,0.629507107,0.25739856,1,0,1,1,0.552743642,1,1,1,0.708632832,0.237016135,1,0,1,1,0.552743642,1,1,1,0.629507107,0.25739856,1,0.333451669,1,1,0.552743642,1,1,1,0.699423886,0.283762861,1,0,1,1,0.552743642,1,1
36,2.62E-01,1,0.693197795,0.377202956,1,0.506675023,1,1,0.552743642,1,1,1,0.8256,0.29014425,1,0,1,1,0.552743642,1,1,1,0.8256,0.2913246,1,0,1,1,0.552743642,1,1,1,0.8256,0.29014425,1,0,1,1,0.552743642,1,1,1,0.8256,0.2913246,1,0.301591805,1,1,0.552743642,1,1,1,0.803560757,0.310326918,1,0,1,1,0.552743642,1,1
37,2.62E-01,1,0.630399434,0.512215753,1,0.481604528,1,1,0.552743642,1,1,1,0.565060745,0.378339335,1,0,1,1,0.552743642,1,1,1,0.502781813,0.32298588,1,0,1,1,0.552743642,1,1,1,0.565060745,0.378339335,1,0,1,1,0.552743642,1,1,1,0.502781813,0.32298588,1,0.462925212,1,1,0.552743642,1,1,1,0.664850517,0.476655773,1,0,1,1,0.552743642,1,1
38,2.62E-01,1,0.507816407,0.65338915,1,0.623382941,1,1,0.552743642,1,1,1,0.581623024,0.550326512,1,0,1,1,0.552743642,1,1,1,0.530269994,0.66575358,1,0,1,1,0.552743642,1,1,1,0.581623024,0.550326512,1,0,1,1,0.552743642,1,1,1,0.530269994,0.66575358,1,0.507438881,1,1,0.552743642,1,1,1,0.513078794,0.61633825,1,0,1,1,0.552743642,1,1
39,2.62E-01,1,0.37864383,0.701573894,1,0.716005428,1,1,0.552743642,1,1,1,0.479419507,0.662348013,1,0,1,1,0.552743642,1,1,1,0.523109355,0.67932594,1,0,1,1,0.552743642,1,1,1,0.479419507,0.662348013,1,0,1,1,0.552743642,1,1,1,0.523109355,0.67932594,1,0.729486859,1,1,0.552743642,1,1,1,0.458098578,0.687749689,1,0,1,1,0.552743642,1,1
40,2.62E-01,1,0.267221225,0.678668613,1,0.792460422,1,1,0.552743642,1,1,1,0.313568221,0.603282204,1,0,1,1,0.552743642,1,1,1,0.311423369,0.6387255,1,0,1,1,0.552743642,1,1,1,0.313568221,0.603282204,1,0,1,1,0.552743642,1,1,1,0.311423369,0.6387255,1,0.755808809,1,1,0.552743642,1,1,1,0.280288837,0.656470612,1,0,1,1,0.552743642,1,1
41,2.62E-01,1,0,0.683407426,1,0.805858546,1,1,0.552743642,1,1,1,0,0.595359617,1,0,1,1,0.552743642,1,1,1,0,0.5819364,1,0,1,1,0.552743642,1,1,1,0,0.595359617,1,0,1,1,0.552743642,1,1,1,0,0.5819364,1,0.744852822,1,1,0.552743642,1,1,1,0,0.662834516,1,0,1,1,0.552743642,1,1
42,2.62E-01,1,0,0.615672978,1,0.807974945,1,1,0.552743642,1,1,1,0,0.527948955,1,0,1,1,0.552743642,1,1,1,0,0.42131016,1,0,1,1,0.552743642,1,1,1,0,0.527948955,1,0,1,1,0.552743642,1,1,1,0,0.42131016,1,0.801309867,1,1,0.552743642,1,1,1,0,0.592283358,1,0,1,1,0.552743642,1,1
43,2.62E-01,1,0,0.564059816,1,0.809740509,1,1,0.552743642,1,1,1,0,0.51692541,1,0,1,1,0.552743642,1,1,1,0,0.38339244,1,0,1,1,0.552743642,1,1,1,0,0.51692541,1,0,1,1,0.552743642,1,1,1,0,0.38339244,1,0.81,1,1,0.552743642,1,1,1,0,0.520462114,1,0,1,1,0.552743642,1,1
44,2.62E-01,1,0,0.444907867,1,0.81,1,1,0.552743642,1,1,1,0,0.433283643,1,0,1,1,0.552743642,1,1,1,0,0.43314264,1,0,1,1,0.552743642,1,1,1,0,0.433283643,1,0,1,1,0.552743642,1,1,1,0,0.43314264,1,0.81,1,1,0.552743642,1,1,1,0,0.38156951,1,0,1,1,0.552743642,1,1
45,2.62E-01,1,0,0.392842453,1,0.81,1,1,0.552743642,1,1,1,0,0.405029195,1,0,1,1,0.552743642,1,1,1,0,0.45364212,1,0,1,1,0.552743642,1,1,1,0,0.405029195,1,0,1,1,0.552743642,1,1,1,0,0.45364212,1,0.81,1,1,0.552743642,1,1,1,0,0.366788077,1,0,1,1,0.552743642,1,1
46,2.62E-01,1,0,0.358739219,1,0.81,1,1,0.552743642,1,1,1,0,0.355263896,1,0,1,1,0.552743642,1,1,1,0,0.42359598,1,0,1,1,0.552743642,1,1,1,0,0.355263896,1,0,1,1,0.552743642,1,1,1,0,0.42359598,1,0.803275506,1,1,0.552743642,1,1,1,0,0.318229026,1,0,1,1,0.552743642,1,1
47,2.62E-01,1,0,0.361955622,1,0.81,1,1,0.552743642,1,1,1,0,0.376707272,1,0,1,1,0.552743642,1,1,1,0,0.47281806,1,0,1,1,0.552743642,1,1,1,0,0.376707272,1,0,1,1,0.552743642,1,1,1,0,0.47281806,1,0.803173442,1,1,0.552743642,1,1,1,0,0.335286043,1,0,1,1,0.552743642,1,1
48,2.62E-01,1,0,0.328517147,1,0.809864952,1,1,0.552743642,1,1,1,0,0.307667462,1,0,1,1,0.552743642,1,1,1,0,0.35697186,1,0,1,1,0.552743642,1,1,1,0,0.307667462,1,0,1,1,0.552743642,1,1,1,0,0.35697186,1,0.806872212,1,1,0.552743642,1,1,1,0,0.286959902,1,0,1,1,0.552743642,1,1
49,2.62E-01,1,0,0.342301447,1,0.809962352,1,1,0.552743642,1,1,1,0,0.325278684,1,0,1,1,0.552743642,1,1,1,0,0.26003592,1,0,1,1,0.552743642,1,1,1,0,0.325278684,1,0,1,1,0.552743642,1,1,1,0,0.26003592,1,0.802082273,1,1,0.552743642,1,1,1,0,0.312500345,1,0,1,1,0.552743642,1,1
50,2.62E-01,1,0,0.288586369,1,0.80919675,1,1,0.552743642,1,1,1,0,0.303730475,1,0,1,1,0.552743642,1,1,1,0,0.273942,1,0,1,1,0.552743642,1,1,1,0,0.303730475,1,0,1,1,0.552743642,1,1,1,0,0.273942,1,0.787156518,1,1,0.552743642,1,1,1,0,0.24269303,1,0,1,1,0.552743642,1,1
51,2.62E-01,1,0,0.361969737,1,0.800594914,1,1,0.552743642,1,1,1,0,0.383743864,1,0,1,1,0.552743642,1,1,1,0,0.31734342,1,0,1,1,0.552743642,1,1,1,0,0.383743864,1,0,1,1,0.552743642,1,1,1,0,0.31734342,1,0.77589735,1,1,0.552743642,1,1,1,0,0.337369925,1,0,1,1,0.552743642,1,1
52,2.62E-01,1,0,0.365516008,1,0.778255796,1,1,0.552743642,1,1,1,0,0.361936094,1,0,1,1,0.552743642,1,1,1,0,0.4124358,1,0,1,1,0.552743642,1,1,1,0,0.361936094,1,0,1,1,0.552743642,1,1,1,0,0.4124358,1,0.644003675,1,1,0.552743642,1,1,1,0,0.32449372,1,0,1,1,0.552743642,1,1
53,2.62E-01,1,0,0.259920129,1,0.718044102,1,1,0.552743642,1,1,1,0,0.217930942,1,0,1,1,0.552743642,1,1,1,0,0.29144448,1,0,1,1,0.552743642,1,1,1,0,0.217930942,1,0,1,1,0.552743642,1,1,1,0,0.29144448,1,0.558956189,1,1,0.552743642,1,1,1,0,0.2012406,1,0,1,1,0.552743642,1,1
54,2.62E-01,1,0,0.281517163,1,0.58227345,1,1,0.552743642,1,1,1,0,0.267562608,1,0,1,1,0.552743642,1,1,1,0,0.37652364,1,0,1,1,0.552743642,1,1,1,0,0.267562608,1,0,1,1,0.552743642,1,1,1,0,0.37652364,1,0.550005125,1,1,0.552743642,1,1,1,0,0.225901361,1,0,1,1,0.552743642,1,1
55,2.62E-01,1,0,0.247364118,1,0.443906208,1,1,0.552743642,1,1,1,0,0.28678422,1,0,1,1,0.552743642,1,1,1,0,0.38715732,1,0,1,1,0.552743642,1,1,1,0,0.28678422,1,0,1,1,0.552743642,1,1,1,0,0.38715732,1,0.47172761,1,1,0.552743642,1,1,1,0,0.185102235,1,0,1,1,0.552743642,1,1
56,2.62E-01,1,0.047343679,0.274082646,1,0.377615828,1,1,0.552743642,1,1,1,0.070512175,0.282122004,1,0,1,1,0.552743642,1,1,1,0.05366013,0.40988106,1,0,1,1,0.552743642,1,1,1,0.070512175,0.282122004,1,0,1,1,0.552743642,1,1,1,0.05366013,0.40988106,1,0.430564422,1,1,0.552743642,1,1,1,0.064858398,0.217880641,1,0,1,1,0.552743642,1,1
57,2.62E-01,1,0.34231929,0.271754756,1,0.321292645,1,1,0.552743642,1,1,1,0.350873637,0.292824158,1,0,1,1,0.552743642,1,1,1,0.351120204,0.44389944,1,0,1,1,0.552743642,1,1,1,0.350873637,0.292824158,1,0,1,1,0.552743642,1,1,1,0.351120204,0.44389944,1,0.413529001,1,1,0.552743642,1,1,1,0.350568877,0.217477126,1,0,1,1,0.552743642,1,1
58,2.62E-01,1,0.583592276,0.205637035,1,0.267305829,1,1,0.552743642,1,1,1,0.596256652,0.206055978,1,0,1,1,0.552743642,1,1,1,0.596210004,0.22766508,1,0,1,1,0.552743642,1,1,1,0.596256652,0.206055978,1,0,1,1,0.552743642,1,1,1,0.596210004,0.22766508,1,0.352564642,1,1,0.552743642,1,1,1,0.59704107,0.161655793,1,0,1,1,0.552743642,1,1
59,2.62E-01,1,0.79209365,0.167897646,1,0.234403974,1,1,0.552743642,1,1,1,0.824933036,0.124268784,1,0,1,1,0.552743642,1,1,1,0.825155357,0.0155034,1,0,1,1,0.552743642,1,1,1,0.824933036,0.124268784,1,0,1,1,0.552743642,1,1,1,0.825155357,0.0155034,1,0.279444717,1,1,0.552743642,1,1,1,0.825134446,0.160457321,1,0,1,1,0.552743642,1,1
60,2.62E-01,1,0.825138018,0.146615849,1,0.255799111,1,1,0.552743642,1,1,1,0.8256,0.111360662,1,0,1,1,0.552743642,1,1,1,0.8256,0.0462348,1,0,1,1,0.552743642,1,1,1,0.8256,0.111360662,1,0,1,1,0.552743642,1,1,1,0.8256,0.0462348,1,0.298823771,1,1,0.552743642,1,1,1,0.8256,0.15141873,1,0,1,1,0.552743642,1,1
61,2.62E-01,1,0.791710788,0.178630001,1,0.27770527,1,1,0.552743642,1,1,1,0.8256,0.148025996,1,0,1,1,0.552743642,1,1,1,0.8256,0.0702432,1,0,1,1,0.552743642,1,1,1,0.8256,0.148025996,1,0,1,1,0.552743642,1,1,1,0.8256,0.0702432,1,0.250189447,1,1,0.552743642,1,1,1,0.801320218,0.17171564,1,0,1,1,0.552743642,1,1
62,2.62E-01,1,0.822676212,0.19945496,1,0.319126352,1,1,0.552743642,1,1,1,0.8256,0.14165194,1,0,1,1,0.552743642,1,1,1,0.8256,0.0573804,1,0,1,1,0.552743642,1,1,1,0.8256,0.14165194,1,0,1,1,0.552743642,1,1,1,0.8256,0.0573804,1,0.334595045,1,1,0.552743642,1,1,1,0.8256,0.183558333,1,0,1,1,0.552743642,1,1
63,2.62E-01,1,0.627300395,0.266308746,1,0.341891231,1,1,0.552743642,1,1,1,0.623712586,0.133611409,1,0,1,1,0.552743642,1,1,1,0.623008765,0.0566676,1,0,1,1,0.552743642,1,1,1,0.623712586,0.133611409,1,0,1,1,0.552743642,1,1,1,0.623008765,0.0566676,1,0.240742096,1,1,0.552743642,1,1,1,0.626694533,0.223659476,1,0,1,1,0.552743642,1,1
64,2.62E-01,1,0.315705248,0.281952705,1,0.372197162,1,1,0.552743642,1,1,1,0.30949646,0.163373176,1,0,1,1,0.552743642,1,1,1,0.308181322,0.0459108,1,0,1,1,0.552743642,1,1,1,0.30949646,0.163373176,1,0,1,1,0.552743642,1,1,1,0.308181322,0.0459108,1,0.315046129,1,1,0.552743642,1,1,1,0.312562117,0.247072223,1,0,1,1,0.552743642,1,1
