Time_Index,None,TEXAS_reference_naturalgas,TEXAS_reference_naturalgas_ccs90,TEXAS_reference_naturalgas_ccs100,TEXAS_uranium
219,0,4.01,4.49,4.54,0.69
220,0,4.01,4.49,4.54,0.69
221,0,4.01,4.49,4.54,0.69
222,0,4.01,4.49,4.54,0.69
223,0,4.01,4.49,4.54,0.69
224,0,4.01,4.49,4.54,0.69
225,0,4.01,4.49,4.54,0.69
226,0,4.01,4.49,4.54,0.69
227,0,4.01,4.49,4.54,0.69
228,0,4.01,4.49,4.54,0.69
229,0,4.01,4.49,4.54,0.69
230,0,4.01,4.49,4.54,0.69
231,0,4.01,4.49,4.54,0.69
232,0,4.01,4.49,4.54,0.69
233,0,4.01,4.49,4.54,0.69
234,0,4.01,4.49,4.54,0.69
235,0,4.01,4.49,4.54,0.69
236,0,4.01,4.49,4.54,0.69
237,0,4.01,4.49,4.54,0.69
238,0,4.01,4.49,4.54,0.69
239,0,4.01,4.49,4.54,0.69
240,0,4.01,4.49,4.54,0.69
241,0,4.01,4.49,4.54,0.69
242,0,4.01,4.49,4.54,0.69
243,0,4.01,4.49,4.54,0.69
244,0,4.01,4.49,4.54,0.69
245,0,4.01,4.49,4.54,0.69
246,0,4.01,4.49,4.54,0.69
247,0,4.01,4.49,4.54,0.69
248,0,4.01,4.49,4.54,0.69
249,0,4.01,4.49,4.54,0.69
250,0,4.01,4.49,4.54,0.69
251,0,4.01,4.49,4.54,0.69
252,0,4.01,4.49,4.54,0.69
253,0,4.01,4.49,4.54,0.69
254,0,4.01,4.49,4.54,0.69
255,0,4.01,4.49,4.54,0.69
256,0,4.01,4.49,4.54,0.69
257,0,4.01,4.49,4.54,0.69
258,0,4.01,4.49,4.54,0.69
259,0,4.01,4.49,4.54,0.69
260,0,4.01,4.49,4.54,0.69
261,0,4.01,4.49,4.54,0.69
262,0,4.01,4.49,4.54,0.69
263,0,4.01,4.49,4.54,0.69
264,0,4.01,4.49,4.54,0.69
265,0,4.01,4.49,4.54,0.69
266,0,4.01,4.49,4.54,0.69
