Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,384,49658
,,,,,,,,385,45694
,,,,,,,,386,42771
,,,,,,,,387,41183
,,,,,,,,388,40326
,,,,,,,,389,40243
,,,,,,,,390,41058
,,,,,,,,391,44377
,,,,,,,,392,50425
,,,,,,,,393,53256
,,,,,,,,394,53224
,,,,,,,,395,54029
,,,,,,,,396,55150
,,,,,,,,397,55454
,,,,,,,,398,55317
,,,,,,,,399,55604
,,,,,,,,400,55176
,,,,,,,,401,54933
,,,,,,,,402,55207
,,,,,,,,403,56639
,,,,,,,,404,60616
,,,,,,,,405,60845
,,,,,,,,406,60097
,,,,,,,,407,58212
,,,,,,,,408,54490
,,,,,,,,409,51269
,,,,,,,,410,49569
,,,,,,,,411,49145
,,,,,,,,412,49303
,,,,,,,,413,50183
,,,,,,,,414,52330
,,,,,,,,415,57413
,,,,,,,,416,65268
,,,,,,,,417,67773
,,,,,,,,418,65354
,,,,,,,,419,62793
,,,,,,,,420,60982
,,,,,,,,421,58656
,,,,,,,,422,56461
,,,,,,,,423,54926
,,,,,,,,424,53593
,,,,,,,,425,52791
,,,,,,,,426,53746
,,,,,,,,427,55146
,,,,,,,,428,59797
,,,,,,,,429,60253
,,,,,,,,430,60008
,,,,,,,,431,58439
,,,,,,,,432,54757
,,,,,,,,433,51282
,,,,,,,,434,49496
,,,,,,,,435,48567
,,,,,,,,436,48164
,,,,,,,,437,48328
,,,,,,,,438,49750
,,,,,,,,439,53588
,,,,,,,,440,59690
,,,,,,,,441,61301
,,,,,,,,442,58876
,,,,,,,,443,56825
,,,,,,,,444,55470
,,,,,,,,445,54260
,,,,,,,,446,53168
,,,,,,,,447,52887
,,,,,,,,448,52636
,,,,,,,,449,52570
,,,,,,,,450,53234
,,,,,,,,451,53483
,,,,,,,,452,56848
,,,,,,,,453,56895
,,,,,,,,454,55840
,,,,,,,,455,53630
,,,,,,,,456,50088
,,,,,,,,457,46316
,,,,,,,,458,44064
,,,,,,,,459,42988
,,,,,,,,460,42475
,,,,,,,,461,42727
,,,,,,,,462,43942
,,,,,,,,463,47508
,,,,,,,,464,53407
,,,,,,,,465,55786
,,,,,,,,466,54808
,,,,,,,,467,54636
,,,,,,,,468,55129
,,,,,,,,469,54568
,,,,,,,,470,54478
,,,,,,,,471,54507
,,,,,,,,472,54418
,,,,,,,,473,54204
,,,,,,,,474,54021
,,,,,,,,475,54131
,,,,,,,,476,56288
,,,,,,,,477,55541
,,,,,,,,478,54278
,,,,,,,,479,52538
,,,,,,,,480,49997
,,,,,,,,481,47166
,,,,,,,,482,44714
,,,,,,,,483,43517
,,,,,,,,484,42813
,,,,,,,,485,42902
,,,,,,,,486,43540
,,,,,,,,487,45129
,,,,,,,,488,48047
,,,,,,,,489,50988
,,,,,,,,490,53629
,,,,,,,,491,55392
,,,,,,,,492,56001
,,,,,,,,493,55302
,,,,,,,,494,54133
,,,,,,,,495,52565
,,,,,,,,496,51513
,,,,,,,,497,50763
,,,,,,,,498,50532
,,,,,,,,499,51987
,,,,,,,,500,55669
,,,,,,,,501,55831
,,,,,,,,502,55284
,,,,,,,,503,54038
,,,,,,,,504,51887
,,,,,,,,505,49297
,,,,,,,,506,47092
,,,,,,,,507,45691
,,,,,,,,508,44933
,,,,,,,,509,44577
,,,,,,,,510,44609
,,,,,,,,511,45286
,,,,,,,,512,46675
,,,,,,,,513,47999
,,,,,,,,514,49639
,,,,,,,,515,51123
,,,,,,,,516,51349
,,,,,,,,517,51171
,,,,,,,,518,51155
,,,,,,,,519,51049
,,,,,,,,520,50975
,,,,,,,,521,50966
,,,,,,,,522,51431
,,,,,,,,523,52169
,,,,,,,,524,55495
,,,,,,,,525,55519
,,,,,,,,526,54204
,,,,,,,,527,52341
,,,,,,,,528,49371
,,,,,,,,529,45668
,,,,,,,,530,43246
,,,,,,,,531,42061
,,,,,,,,532,41681
,,,,,,,,533,42074
,,,,,,,,534,43624
,,,,,,,,535,47615
,,,,,,,,536,54504
,,,,,,,,537,56821
,,,,,,,,538,55638
,,,,,,,,539,55377
,,,,,,,,540,55188
,,,,,,,,541,54512
,,,,,,,,542,53656
,,,,,,,,543,53071
,,,,,,,,544,52406
,,,,,,,,545,52039
,,,,,,,,546,52269
,,,,,,,,547,53144
,,,,,,,,548,57074
,,,,,,,,549,57611
,,,,,,,,550,56971
,,,,,,,,551,55234
,,,,,,,,552,51774
,,,,,,,,553,48378
,,,,,,,,554,46188
,,,,,,,,555,45309
,,,,,,,,556,44988
,,,,,,,,557,45304
,,,,,,,,558,46731
,,,,,,,,559,50552
,,,,,,,,560,56857
,,,,,,,,561,58643
,,,,,,,,562,57051
,,,,,,,,563,56278
,,,,,,,,564,55832
,,,,,,,,565,55261
,,,,,,,,566,54819
,,,,,,,,567,54288
,,,,,,,,568,53893
,,,,,,,,569,54115
,,,,,,,,570,55278
,,,,,,,,571,57030
,,,,,,,,572,59151
,,,,,,,,573,58934
,,,,,,,,574,57612
,,,,,,,,575,55228
,,,,,,,,576,51496
,,,,,,,,577,47585
,,,,,,,,578,44975
,,,,,,,,579,43821
,,,,,,,,580,43250
,,,,,,,,581,43410
,,,,,,,,582,44531
,,,,,,,,583,48158
,,,,,,,,584,54070
,,,,,,,,585,56691
,,,,,,,,586,56309
,,,,,,,,587,56816
,,,,,,,,588,57640
,,,,,,,,589,57697
,,,,,,,,590,57377
,,,,,,,,591,56940
,,,,,,,,592,56599
,,,,,,,,593,56735
,,,,,,,,594,57489
,,,,,,,,595,58977
,,,,,,,,596,61411
,,,,,,,,597,61004
,,,,,,,,598,59767
,,,,,,,,599,57319
,,,,,,,,600,53342
,,,,,,,,601,49289
,,,,,,,,602,46843
,,,,,,,,603,45690
,,,,,,,,604,45299
,,,,,,,,605,45639
,,,,,,,,606,47014
,,,,,,,,607,51000
,,,,,,,,608,57796
,,,,,,,,609,59967
,,,,,,,,610,58508
,,,,,,,,611,57538
,,,,,,,,612,56658
,,,,,,,,613,55583
,,,,,,,,614,54216
,,,,,,,,615,53561
,,,,,,,,616,52682
,,,,,,,,617,52207
,,,,,,,,618,52930
,,,,,,,,619,53147
,,,,,,,,620,56915
,,,,,,,,621,57805
,,,,,,,,622,57547
,,,,,,,,623,56026
,,,,,,,,624,52841
,,,,,,,,625,49514
,,,,,,,,626,47574
,,,,,,,,627,47071
,,,,,,,,628,47378
,,,,,,,,629,48291
,,,,,,,,630,50149
,,,,,,,,631,54902
,,,,,,,,632,62149
,,,,,,,,633,64107
,,,,,,,,634,61474
,,,,,,,,635,58875
,,,,,,,,636,57060
,,,,,,,,637,55687
,,,,,,,,638,53856
,,,,,,,,639,53047
,,,,,,,,640,51898
,,,,,,,,641,51433
,,,,,,,,642,51123
,,,,,,,,643,51495
,,,,,,,,644,54414
,,,,,,,,645,54625
,,,,,,,,646,53951
,,,,,,,,647,52726
,,,,,,,,648,50531
,,,,,,,,649,48097
,,,,,,,,650,45881
,,,,,,,,651,45090
,,,,,,,,652,44888
,,,,,,,,653,45072
,,,,,,,,654,45857
,,,,,,,,655,47720
,,,,,,,,656,50485
,,,,,,,,657,52991
,,,,,,,,658,55183
,,,,,,,,659,56253
,,,,,,,,660,56072
,,,,,,,,661,54785
,,,,,,,,662,53026
,,,,,,,,663,51387
,,,,,,,,664,49893
,,,,,,,,665,49144
,,,,,,,,666,49224
,,,,,,,,667,50791
,,,,,,,,668,54945
,,,,,,,,669,56043
,,,,,,,,670,56116
,,,,,,,,671,55610
,,,,,,,,672,54181
,,,,,,,,673,52521
,,,,,,,,674,51013
,,,,,,,,675,50472
,,,,,,,,676,50404
,,,,,,,,677,50829
,,,,,,,,678,51656
,,,,,,,,679,53317
,,,,,,,,680,55752
,,,,,,,,681,57924
,,,,,,,,682,58662
,,,,,,,,683,57236
,,,,,,,,684,54780
,,,,,,,,685,52505
,,,,,,,,686,50687
,,,,,,,,687,48932
,,,,,,,,688,47527
,,,,,,,,689,46843
,,,,,,,,690,46974
,,,,,,,,691,48866
,,,,,,,,692,53802
,,,,,,,,693,55457
,,,,,,,,694,55580
,,,,,,,,695,54502
,,,,,,,,696,51776
,,,,,,,,697,48729
,,,,,,,,698,46923
,,,,,,,,699,46473
,,,,,,,,700,46463
,,,,,,,,701,47128
,,,,,,,,702,49137
,,,,,,,,703,53642
,,,,,,,,704,60495
,,,,,,,,705,62397
,,,,,,,,706,60138
,,,,,,,,707,58370
,,,,,,,,708,56971
,,,,,,,,709,55402
,,,,,,,,710,54001
,,,,,,,,711,53198
,,,,,,,,712,52309
,,,,,,,,713,52050
,,,,,,,,714,52850
,,,,,,,,715,54163
,,,,,,,,716,57273
,,,,,,,,717,57460
,,,,,,,,718,56186
,,,,,,,,719,53914
,,,,,,,,720,50100
,,,,,,,,721,46002
,,,,,,,,722,43536
,,,,,,,,723,42208
,,,,,,,,724,41771
,,,,,,,,725,41775
,,,,,,,,726,42785
,,,,,,,,727,46066
,,,,,,,,728,51335
,,,,,,,,729,53643
,,,,,,,,730,52363
,,,,,,,,731,52438
,,,,,,,,732,52611
,,,,,,,,733,52457
,,,,,,,,734,52159
,,,,,,,,735,52326
,,,,,,,,736,52165
,,,,,,,,737,52084
,,,,,,,,738,52154
,,,,,,,,739,52681
,,,,,,,,740,55651
,,,,,,,,741,55977
,,,,,,,,742,54813
,,,,,,,,743,52517
,,,,,,,,744,48647
,,,,,,,,745,44680
,,,,,,,,746,42101
,,,,,,,,747,40708
,,,,,,,,748,40066
,,,,,,,,749,40090
,,,,,,,,750,40915
,,,,,,,,751,44273
,,,,,,,,752,50318
,,,,,,,,753,52683
,,,,,,,,754,52058
,,,,,,,,755,52370
,,,,,,,,756,52984
,,,,,,,,757,53188
,,,,,,,,758,53370
,,,,,,,,759,53790
,,,,,,,,760,54143
,,,,,,,,761,54409
,,,,,,,,762,54587
,,,,,,,,763,54555
,,,,,,,,764,56987
,,,,,,,,765,57217
,,,,,,,,766,55885
,,,,,,,,767,53437
,,,,,,,,768,49499
,,,,,,,,769,45415
,,,,,,,,770,42580
,,,,,,,,771,41224
,,,,,,,,772,40662
,,,,,,,,773,40661
,,,,,,,,774,41763
,,,,,,,,775,45340
,,,,,,,,776,51691
,,,,,,,,777,53983
,,,,,,,,778,53272
,,,,,,,,779,53735
,,,,,,,,780,54226
,,,,,,,,781,54023
,,,,,,,,782,53644
,,,,,,,,783,53852
,,,,,,,,784,53652
,,,,,,,,785,53596
,,,,,,,,786,54144
,,,,,,,,787,54752
,,,,,,,,788,57010
,,,,,,,,789,56866
,,,,,,,,790,55856
,,,,,,,,791,53524
,,,,,,,,792,49747
,,,,,,,,793,45793
,,,,,,,,794,43015
,,,,,,,,795,41561
,,,,,,,,796,40792
,,,,,,,,797,41073
,,,,,,,,798,41897
,,,,,,,,799,44428
,,,,,,,,800,49863
,,,,,,,,801,52562
,,,,,,,,802,52095
,,,,,,,,803,53025
,,,,,,,,804,54100
,,,,,,,,805,54732
,,,,,,,,806,54827
,,,,,,,,807,54957
,,,,,,,,808,54713
,,,,,,,,809,54311
,,,,,,,,810,54166
,,,,,,,,811,54229
,,,,,,,,812,56226
,,,,,,,,813,55761
,,,,,,,,814,54782
,,,,,,,,815,52830
,,,,,,,,816,50461
,,,,,,,,817,46892
,,,,,,,,818,44055
,,,,,,,,819,42330
,,,,,,,,820,41861
,,,,,,,,821,41276
,,,,,,,,822,41367
,,,,,,,,823,42392
,,,,,,,,824,44336
,,,,,,,,825,46647
,,,,,,,,826,49267
,,,,,,,,827,51485
,,,,,,,,828,52176
,,,,,,,,829,52026
,,,,,,,,830,50988
,,,,,,,,831,49916
,,,,,,,,832,48909
,,,,,,,,833,48305
,,,,,,,,834,48442
,,,,,,,,835,49898
,,,,,,,,836,53346
,,,,,,,,837,53913
,,,,,,,,838,53516
,,,,,,,,839,52558
,,,,,,,,840,50733
,,,,,,,,841,48457
,,,,,,,,842,46668
,,,,,,,,843,45621
,,,,,,,,844,44967
,,,,,,,,845,44933
,,,,,,,,846,45368
,,,,,,,,847,46822
,,,,,,,,848,48945
,,,,,,,,849,51290
,,,,,,,,850,54149
,,,,,,,,851,56324
,,,,,,,,852,57089
,,,,,,,,853,56900
,,,,,,,,854,56431
,,,,,,,,855,55595
,,,,,,,,856,54738
,,,,,,,,857,54148
,,,,,,,,858,54067
,,,,,,,,859,54779
,,,,,,,,860,57558
,,,,,,,,861,58562
,,,,,,,,862,58352
,,,,,,,,863,58548
,,,,,,,,864,56048
,,,,,,,,865,52798
,,,,,,,,866,50497
,,,,,,,,867,49639
,,,,,,,,868,49445
,,,,,,,,869,50008
,,,,,,,,870,51871
,,,,,,,,871,56468
,,,,,,,,872,63669
,,,,,,,,873,65985
,,,,,,,,874,64334
,,,,,,,,875,62779
,,,,,,,,876,60927
,,,,,,,,877,58792
,,,,,,,,878,56809
,,,,,,,,879,55320
,,,,,,,,880,53952
,,,,,,,,881,53257
,,,,,,,,882,53616
,,,,,,,,883,55700
,,,,,,,,884,60016
,,,,,,,,885,60755
,,,,,,,,886,60119
,,,,,,,,887,57948
,,,,,,,,888,54144
,,,,,,,,889,50138
,,,,,,,,890,47857
,,,,,,,,891,46767
,,,,,,,,892,46344
,,,,,,,,893,46592
,,,,,,,,894,48064
,,,,,,,,895,52342
,,,,,,,,896,59208
,,,,,,,,897,61093
,,,,,,,,898,59167
,,,,,,,,899,58288
,,,,,,,,900,57242
,,,,,,,,901,55675
,,,,,,,,902,53992
,,,,,,,,903,53107
,,,,,,,,904,52239
,,,,,,,,905,51846
,,,,,,,,906,52435
,,,,,,,,907,53923
,,,,,,,,908,57564
,,,,,,,,909,58322
