Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
t115,3.648054563246675e-14,0.0,0.0,0.0,0.0,25.642423594317016,0.0
t116,3.64730880973786e-14,0.0,0.0,0.0,0.0,25.51644476179268,0.0
t117,3.647231834958326e-14,0.0,0.0,0.0,0.0,25.389650799821002,0.0
t118,3.6464796827854815e-14,0.0,0.0,0.0,0.0,25.261589729871304,0.0
t119,3.645222289898425e-14,0.0,0.0,0.0,0.0,25.130537841278315,0.0
t120,3.644052014343531e-14,0.0,0.0,0.0,0.0,24.46636891302947,0.0
t121,3.641681992808002e-14,0.0,0.0,0.0,0.0,23.670793666734063,0.0
t122,3.640833535062822e-14,0.0,0.0,0.0,0.0,22.708092192545102,0.0
t123,3.640337523332598e-14,0.0,0.0,0.0,0.0,21.546688329325875,0.0
t124,3.64003856350946e-14,0.0,0.0,0.0,0.0,20.156161977256,0.0
t125,3.639781487154628e-14,0.0,0.0,0.0,0.0,18.572296402213755,0.0
t126,3.638756463811549e-14,0.0,0.0,0.0,0.0,16.54644607852487,0.0
t127,3.639320321648478e-14,0.0,0.0,0.0,0.0,14.653045116817161,0.0
t128,3.640210331417155e-14,0.0,0.0,0.0,0.0,13.5762440865069,0.0
t129,3.64097498497093e-14,0.0,0.0,0.0,0.0,13.114511974315862,0.0
t130,3.6414996002849116e-14,0.0,0.0,0.0,0.0,12.811644903884531,0.0
t131,3.6403360165940314e-14,0.0,0.0,0.0,0.0,12.748285960408865,0.0
t132,3.641072330777169e-14,0.0,0.0,0.0,0.0,12.684083714019641,0.0
t133,3.642601716150869e-14,0.0,0.0,0.0,0.0,12.618510229860822,0.0
t134,3.642849461602076e-14,0.0,0.0,0.0,0.0,12.547974615451219,0.0
t135,3.642372030077734e-14,0.0,0.0,0.0,0.0,12.472566885261815,0.0
t136,3.6399532473592036e-14,0.0,0.0,0.0,0.0,12.394356821215004,0.0
t137,3.6368531886663647e-14,0.0,0.0,0.0,0.0,12.314177171190453,0.0
t138,3.631109183167597e-14,0.0,0.0,0.0,0.0,12.229323494963175,0.0
t139,3.621823295915549e-14,0.0,0.0,0.0,0.0,12.14744455874123,0.0
t140,3.60881971073731e-14,0.0,0.0,0.0,0.0,12.063856303449729,0.0
t141,3.59041736257871e-14,0.0,0.0,0.0,0.0,11.978187268128982,0.0
t142,3.5679435632996594e-14,0.0,0.0,0.0,0.0,11.891532152815268,0.0
