Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
96465,0.262,1,0.044557652,0.025534962,0.023478455,0.302800848,1,0.441886694,0.441886694,1,1,0.552743642,1,1
96466,0.262,1,0.280477768,0.160735336,0.147790209,0.330097116,1,0.406211657,0.406211657,1,1,0.552743642,1,1
96467,0.262,1,0.555902444,0.318574862,0.292917826,0.252550353,1,0.460345476,0.460345476,1,1,0.552743642,1,1
96468,0.262,1,0.634331758,0.363520892,0.334244042,0.251828906,1,0.460425821,0.460425821,1,1,0.552743642,1,1
96469,0.262,1,0.481269921,0.275804685,0.253592228,0.319043413,1,0.479181671,0.479181671,1,1,0.552743642,1,1
96470,0.262,1,0.361248371,0.207023105,0.190350103,0.408192256,1,0.486796494,0.486796494,1,1,0.552743642,1,1
96471,0.262,1,0.288704948,0.165450143,0.1521253,0.467485842,1,0.564376855,0.564376855,1,1,0.552743642,1,1
96472,0.262,1,0.179018502,0.102591372,0.09432898,0.450940636,1,0.687659769,0.687659769,1,1,0.552743642,1,1
96473,0.262,1,0.0,0.0,0.0,0.3813196,1,0.762885345,0.762885345,1,1,0.552743642,1,1
96474,0.262,1,0.0,0.0,0.0,0.425393579,1,0.757667354,0.757667354,1,1,0.552743642,1,1
96475,0.262,1,0.0,0.0,0.0,0.399454472,1,0.69118797,0.69118797,1,1,0.552743642,1,1
96476,0.262,1,0.0,0.0,0.0,0.427242831,1,0.643700714,0.643700714,1,1,0.552743642,1,1
96477,0.262,1,0.0,0.0,0.0,0.441274458,1,0.660027959,0.660027959,1,1,0.552743642,1,1
96478,0.262,1,0.0,0.0,0.0,0.437979543,1,0.649058927,0.649058927,1,1,0.552743642,1,1
96479,0.262,1,0.0,0.0,0.0,0.477787504,1,0.639186265,0.639186265,1,1,0.552743642,1,1
96480,0.262,1,0.0,0.0,0.0,0.385490528,1,0.640269084,0.640269084,1,1,0.552743642,1,1
96481,0.262,1,0.0,0.0,0.0,0.426888017,1,0.669517031,0.669517031,1,1,0.552743642,1,1
96482,0.262,1,0.0,0.0,0.0,0.414746817,1,0.706095208,0.706095208,1,1,0.552743642,1,1
96483,0.262,1,0.0,0.0,0.0,0.379693243,1,0.686851878,0.686851878,1,1,0.552743642,1,1
96484,0.262,1,0.0,0.0,0.0,0.351319696,1,0.599575877,0.599575877,1,1,0.552743642,1,1
96485,0.262,1,0.0,0.0,0.0,0.393003749,1,0.493619875,0.493619875,1,1,0.552743642,1,1
96486,0.262,1,0.0,0.0,0.0,0.333400481,1,0.37230946,0.37230946,1,1,0.552743642,1,1
96487,0.262,1,0.0,0.0,0.0,0.397551878,1,0.284008164,0.284008164,1,1,0.552743642,1,1
96488,0.262,1,0.000186788,0.000107044,9.84229e-5,0.513563519,1,0.339222606,0.339222606,1,1,0.552743642,1,1
96489,0.262,1,0.057423314,0.032907976,0.030257669,0.578548761,1,0.400451866,0.400451866,1,1,0.552743642,1,1
96490,0.262,1,0.225965885,0.129495834,0.119066639,0.451998868,1,0.521129529,0.521129529,1,1,0.552743642,1,1
96491,0.262,1,0.481788659,0.276101962,0.253865563,0.44001657,1,0.690050337,0.690050337,1,1,0.552743642,1,1
96492,0.262,1,0.725330629,0.415670245,0.382193447,0.539880493,1,0.746399107,0.746399107,1,1,0.552743642,1,1
96493,0.262,1,0.663434128,0.380198789,0.349578752,0.648618033,1,0.78658155,0.78658155,1,1,0.552743642,1,1
96494,0.262,1,0.595553914,0.341298205,0.313811101,0.587981702,1,0.79800075,0.79800075,1,1,0.552743642,1,1
96495,0.262,1,0.27487929,0.157526978,0.144840241,0.583889362,1,0.8019828,0.8019828,1,1,0.552743642,1,1
96496,0.262,1,0.123087004,0.070538322,0.064857383,0.536220948,1,0.808795125,0.808795125,1,1,0.552743642,1,1
96497,0.262,1,0.0,0.0,0.0,0.488063132,1,0.809622,0.809622,1,1,0.552743642,1,1
96498,0.262,1,0.0,0.0,0.0,0.486345056,1,0.81,0.81,1,1,0.552743642,1,1
96499,0.262,1,0.0,0.0,0.0,0.558354637,1,0.81,0.81,1,1,0.552743642,1,1
96500,0.262,1,0.0,0.0,0.0,0.608439174,1,0.81,0.81,1,1,0.552743642,1,1
96501,0.262,1,0.0,0.0,0.0,0.625893895,1,0.81,0.81,1,1,0.552743642,1,1
96502,0.262,1,0.0,0.0,0.0,0.622066725,1,0.81,0.81,1,1,0.552743642,1,1
96503,0.262,1,0.0,0.0,0.0,0.629707264,1,0.81,0.81,1,1,0.552743642,1,1
96504,0.262,1,0.0,0.0,0.0,0.597417367,1,0.81,0.81,1,1,0.552743642,1,1
96505,0.262,1,0.0,0.0,0.0,0.642148186,1,0.81,0.81,1,1,0.552743642,1,1
96506,0.262,1,0.0,0.0,0.0,0.579867151,1,0.81,0.81,1,1,0.552743642,1,1
96507,0.262,1,0.0,0.0,0.0,0.566751032,1,0.81,0.81,1,1,0.552743642,1,1
96508,0.262,1,0.0,0.0,0.0,0.532013881,1,0.81,0.81,1,1,0.552743642,1,1
96509,0.262,1,0.0,0.0,0.0,0.438605681,1,0.808464375,0.808464375,1,1,0.552743642,1,1
96510,0.262,1,0.0,0.0,0.0,0.377545552,1,0.781614,0.781614,1,1,0.552743642,1,1
96511,0.262,1,0.0,0.0,0.0,0.4303128,1,0.752905887,0.752905887,1,1,0.552743642,1,1
96512,0.262,1,0.029282504,0.016781127,0.015429627,0.417396882,1,0.729100293,0.729100293,1,1,0.552743642,1,1
96513,0.262,1,0.261314114,0.149753088,0.137692437,0.46547281,1,0.678202904,0.678202904,1,1,0.552743642,1,1
96514,0.262,1,0.479307433,0.274680029,0.252558147,0.423158374,1,0.736761802,0.736761802,1,1,0.552743642,1,1
96515,0.262,1,0.655887772,0.375874146,0.345602403,0.189185875,1,0.754800863,0.754800863,1,1,0.552743642,1,1
96516,0.262,1,0.77388915,0.443498013,0.407780052,0.212665353,1,0.757844911,0.757844911,1,1,0.552743642,1,1
96517,0.262,1,0.771130771,0.44191725,0.406326599,0.377126955,1,0.765710887,0.765710887,1,1,0.552743642,1,1
96518,0.262,1,0.698688803,0.400402429,0.368155254,0.370063303,1,0.765127213,0.765127213,1,1,0.552743642,1,1
96519,0.262,1,0.469853488,0.269262191,0.247576646,0.434088036,1,0.776813263,0.776813263,1,1,0.552743642,1,1
96520,0.262,1,0.245110264,0.140467036,0.129154254,0.404691839,1,0.78761475,0.78761475,1,1,0.552743642,1,1
96521,0.262,1,0.0,0.0,0.0,0.493256618,1,0.805725,0.805725,1,1,0.552743642,1,1
96522,0.262,1,0.0,0.0,0.0,0.491125895,1,0.809787375,0.809787375,1,1,0.552743642,1,1
96523,0.262,1,0.0,0.0,0.0,0.459730361,1,0.81,0.81,1,1,0.552743642,1,1
96524,0.262,1,0.0,0.0,0.0,0.496284891,1,0.81,0.81,1,1,0.552743642,1,1
96525,0.262,1,0.0,0.0,0.0,0.459496982,1,0.81,0.81,1,1,0.552743642,1,1
96526,0.262,1,0.0,0.0,0.0,0.523024693,1,0.81,0.81,1,1,0.552743642,1,1
96527,0.262,1,0.0,0.0,0.0,0.608857499,1,0.81,0.81,1,1,0.552743642,1,1
96528,0.262,1,0.0,0.0,0.0,0.587292415,1,0.81,0.81,1,1,0.552743642,1,1
96529,0.262,1,0.0,0.0,0.0,0.537313528,1,0.809787375,0.809787375,1,1,0.552743642,1,1
96530,0.262,1,0.0,0.0,0.0,0.468482849,1,0.808795125,0.808795125,1,1,0.552743642,1,1
96531,0.262,1,0.0,0.0,0.0,0.509838316,1,0.809244,0.809244,1,1,0.552743642,1,1
96532,0.262,1,0.0,0.0,0.0,0.475960932,1,0.801765863,0.801765863,1,1,0.552743642,1,1
96533,0.262,1,0.0,0.0,0.0,0.4521028,1,0.778809564,0.778809564,1,1,0.552743642,1,1
96534,0.262,1,0.0,0.0,0.0,0.447756129,1,0.722957128,0.722957128,1,1,0.552743642,1,1
96535,0.262,1,0.0,0.0,0.0,0.492291638,1,0.661463369,0.661463369,1,1,0.552743642,1,1
96536,0.262,1,0.057559562,0.032986057,0.030329462,0.504164339,1,0.567303736,0.567303736,1,1,0.552743642,1,1
96537,0.262,1,0.254633094,0.14592435,0.134172053,0.467939253,1,0.480701031,0.480701031,1,1,0.552743642,1,1
96538,0.262,1,0.471867303,0.270416262,0.248637771,0.412358343,1,0.414580573,0.414580573,1,1,0.552743642,1,1
96539,0.262,1,0.444005954,0.254449566,0.233956983,0.396317396,1,0.373025872,0.373025872,1,1,0.552743642,1,1
96540,0.262,1,0.501867837,0.287608876,0.264445745,0.387094305,1,0.310418453,0.310418453,1,1,0.552743642,1,1
96541,0.262,1,0.532602627,0.305222275,0.280640615,0.384179995,1,0.272049979,0.272049979,1,1,0.552743642,1,1
96542,0.262,1,0.396253585,0.227083785,0.208795158,0.294672603,1,0.273003676,0.273003676,1,1,0.552743642,1,1
96543,0.262,1,0.331410648,0.189923794,0.174627918,0.270994581,1,0.254849375,0.254849375,1,1,0.552743642,1,1
