Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
,,,,,,,128,0,1869.2,1869.2,1869.2,1869.2,1869.2,1869.2
,,,,,,,129,0,1870.3,1870.3,1870.3,1870.3,1870.3,1870.3
,,,,,,,130,0,1922.7,1922.7,1922.7,1922.7,1922.7,1922.7
,,,,,,,131,0,2057.7,2057.7,2057.7,2057.7,2057.7,2057.7
,,,,,,,132,0,2272.0,2272.0,2272.0,2272.0,2272.0,2272.0
,,,,,,,133,0,2458.8,2458.8,2458.8,2458.8,2458.8,2458.8
,,,,,,,134,0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0
,,,,,,,135,0,2619.1,2619.1,2619.1,2619.1,2619.1,2619.1
,,,,,,,136,0,2662.8,2662.8,2662.8,2662.8,2662.8,2662.8
,,,,,,,137,0,2753.2,2753.2,2753.2,2753.2,2753.2,2753.2
,,,,,,,138,0,2659.7,2659.7,2659.7,2659.7,2659.7,2659.7
,,,,,,,139,0,2612.1,2612.1,2612.1,2612.1,2612.1,2612.1
,,,,,,,140,0,2584.1,2584.1,2584.1,2584.1,2584.1,2584.1
,,,,,,,141,0,2560.6,2560.6,2560.6,2560.6,2560.6,2560.6
,,,,,,,142,0,2670.4,2670.4,2670.4,2670.4,2670.4,2670.4
,,,,,,,143,0,2830.3,2830.3,2830.3,2830.3,2830.3,2830.3
,,,,,,,144,0,2789.5,2789.5,2789.5,2789.5,2789.5,2789.5
,,,,,,,145,0,2699.9,2699.9,2699.9,2699.9,2699.9,2699.9
,,,,,,,146,0,2579.4,2579.4,2579.4,2579.4,2579.4,2579.4
,,,,,,,147,0,2432.1,2432.1,2432.1,2432.1,2432.1,2432.1
,,,,,,,148,0,2253.2,2253.2,2253.2,2253.2,2253.2,2253.2
,,,,,,,149,0,2097.7,2097.7,2097.7,2097.7,2097.7,2097.7
,,,,,,,150,0,1993.4,1993.4,1993.4,1993.4,1993.4,1993.4
,,,,,,,151,0,1930.0,1930.0,1930.0,1930.0,1930.0,1930.0
,,,,,,,152,0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0
,,,,,,,153,0,1908.5,1908.5,1908.5,1908.5,1908.5,1908.5
,,,,,,,154,0,1962.9,1962.9,1962.9,1962.9,1962.9,1962.9
,,,,,,,155,0,2101.6,2101.6,2101.6,2101.6,2101.6,2101.6
,,,,,,,156,0,2322.0,2322.0,2322.0,2322.0,2322.0,2322.0
,,,,,,,157,0,2500.4,2500.4,2500.4,2500.4,2500.4,2500.4
,,,,,,,158,0,2615.7,2615.7,2615.7,2615.7,2615.7,2615.7
,,,,,,,159,0,2721.5,2721.5,2721.5,2721.5,2721.5,2721.5
,,,,,,,160,0,2703.1,2703.1,2703.1,2703.1,2703.1,2703.1
,,,,,,,161,0,2721.3,2721.3,2721.3,2721.3,2721.3,2721.3
,,,,,,,162,0,2694.6,2694.6,2694.6,2694.6,2694.6,2694.6
,,,,,,,163,0,2609.2,2609.2,2609.2,2609.2,2609.2,2609.2
,,,,,,,164,0,2571.6,2571.6,2571.6,2571.6,2571.6,2571.6
,,,,,,,165,0,2529.2,2529.2,2529.2,2529.2,2529.2,2529.2
,,,,,,,166,0,2633.2,2633.2,2633.2,2633.2,2633.2,2633.2
,,,,,,,167,0,2806.7,2806.7,2806.7,2806.7,2806.7,2806.7
,,,,,,,168,0,2778.9,2778.9,2778.9,2778.9,2778.9,2778.9
,,,,,,,169,0,2696.3,2696.3,2696.3,2696.3,2696.3,2696.3
,,,,,,,170,0,2586.1,2586.1,2586.1,2586.1,2586.1,2586.1
,,,,,,,171,0,2442.0,2442.0,2442.0,2442.0,2442.0,2442.0
,,,,,,,172,0,2270.0,2270.0,2270.0,2270.0,2270.0,2270.0
,,,,,,,173,0,2121.6,2121.6,2121.6,2121.6,2121.6,2121.6
,,,,,,,174,0,2022.9,2022.9,2022.9,2022.9,2022.9,2022.9
,,,,,,,175,0,1968.5,1968.5,1968.5,1968.5,1968.5,1968.5
,,,,,,,176,0,1947.3,1947.3,1947.3,1947.3,1947.3,1947.3
,,,,,,,177,0,1955.2,1955.2,1955.2,1955.2,1955.2,1955.2
,,,,,,,178,0,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5
,,,,,,,179,0,2149.5,2149.5,2149.5,2149.5,2149.5,2149.5
,,,,,,,180,0,2368.6,2368.6,2368.6,2368.6,2368.6,2368.6
,,,,,,,181,0,2554.5,2554.5,2554.5,2554.5,2554.5,2554.5
,,,,,,,182,0,2666.8,2666.8,2666.8,2666.8,2666.8,2666.8
,,,,,,,183,0,2722.9,2722.9,2722.9,2722.9,2722.9,2722.9
,,,,,,,184,0,2787.8,2787.8,2787.8,2787.8,2787.8,2787.8
,,,,,,,185,0,2807.4,2807.4,2807.4,2807.4,2807.4,2807.4
,,,,,,,186,0,2702.7,2702.7,2702.7,2702.7,2702.7,2702.7
,,,,,,,187,0,2679.6,2679.6,2679.6,2679.6,2679.6,2679.6
,,,,,,,188,0,2589.5,2589.5,2589.5,2589.5,2589.5,2589.5
,,,,,,,189,0,2513.3,2513.3,2513.3,2513.3,2513.3,2513.3
,,,,,,,190,0,2625.2,2625.2,2625.2,2625.2,2625.2,2625.2
,,,,,,,191,0,2766.9,2766.9,2766.9,2766.9,2766.9,2766.9
,,,,,,,192,0,2732.9,2732.9,2732.9,2732.9,2732.9,2732.9
,,,,,,,193,0,2647.5,2647.5,2647.5,2647.5,2647.5,2647.5
,,,,,,,194,0,2556.0,2556.0,2556.0,2556.0,2556.0,2556.0
,,,,,,,195,0,2437.3,2437.3,2437.3,2437.3,2437.3,2437.3
,,,,,,,196,0,2291.6,2291.6,2291.6,2291.6,2291.6,2291.6
,,,,,,,197,0,2149.8,2149.8,2149.8,2149.8,2149.8,2149.8
,,,,,,,198,0,2049.1,2049.1,2049.1,2049.1,2049.1,2049.1
,,,,,,,199,0,1987.9,1987.9,1987.9,1987.9,1987.9,1987.9
,,,,,,,200,0,1956.1,1956.1,1956.1,1956.1,1956.1,1956.1
,,,,,,,201,0,1951.9,1951.9,1951.9,1951.9,1951.9,1951.9
,,,,,,,202,0,1974.7,1974.7,1974.7,1974.7,1974.7,1974.7
,,,,,,,203,0,2041.0,2041.0,2041.0,2041.0,2041.0,2041.0
,,,,,,,204,0,2150.9,2150.9,2150.9,2150.9,2150.9,2150.9
,,,,,,,205,0,2262.2,2262.2,2262.2,2262.2,2262.2,2262.2
,,,,,,,206,0,2408.9,2408.9,2408.9,2408.9,2408.9,2408.9
,,,,,,,207,0,2480.9,2480.9,2480.9,2480.9,2480.9,2480.9
,,,,,,,208,0,2618.2,2618.2,2618.2,2618.2,2618.2,2618.2
,,,,,,,209,0,2661.6,2661.6,2661.6,2661.6,2661.6,2661.6
,,,,,,,210,0,2574.1,2574.1,2574.1,2574.1,2574.1,2574.1
,,,,,,,211,0,2554.0,2554.0,2554.0,2554.0,2554.0,2554.0
,,,,,,,212,0,2506.4,2506.4,2506.4,2506.4,2506.4,2506.4
,,,,,,,213,0,2469.2,2469.2,2469.2,2469.2,2469.2,2469.2
,,,,,,,214,0,2567.7,2567.7,2567.7,2567.7,2567.7,2567.7
,,,,,,,215,0,2692.9,2692.9,2692.9,2692.9,2692.9,2692.9
,,,,,,,216,0,2651.8,2651.8,2651.8,2651.8,2651.8,2651.8
,,,,,,,217,0,2563.1,2563.1,2563.1,2563.1,2563.1,2563.1
,,,,,,,218,0,2467.8,2467.8,2467.8,2467.8,2467.8,2467.8
,,,,,,,219,0,2348.1,2348.1,2348.1,2348.1,2348.1,2348.1
,,,,,,,220,0,2209.6,2209.6,2209.6,2209.6,2209.6,2209.6
,,,,,,,221,0,2079.1,2079.1,2079.1,2079.1,2079.1,2079.1
,,,,,,,222,0,1974.6,1974.6,1974.6,1974.6,1974.6,1974.6
,,,,,,,223,0,1906.6,1906.6,1906.6,1906.6,1906.6,1906.6
,,,,,,,224,0,1879.2,1879.2,1879.2,1879.2,1879.2,1879.2
