Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
,,,,,,,98,0,6556.13048,3344.0637,1521.80799,2189.63034,2369.42038,4394.17644
,,,,,,,99,0,6311.01773,3326.97083,1487.57215,2147.43642,2350.13906,4264.89888
,,,,,,,100,0,6246.21854,3321.30078,1466.66785,2152.46684,2352.15788,4252.08461
,,,,,,,101,0,6250.45758,3362.64511,1480.7419,2180.53313,2405.85072,4291.38416
,,,,,,,102,0,6758.49402,3571.62608,1583.25468,2332.59378,2554.72976,4560.25794
,,,,,,,103,0,8359.21984,4083.49817,1852.36996,2761.11059,2883.88774,5566.65233
,,,,,,,104,0,10871.1247,4755.62874,2234.57615,3374.4345,3284.39398,6979.27671
,,,,,,,105,0,11386.7994,4830.26733,2278.95176,3500.63821,3366.48406,7202.92692
,,,,,,,106,0,11217.237,4814.72097,2223.1044,3450.63241,3391.69278,7080.70682
,,,,,,,107,0,10864.8754,4748.70449,2189.48789,3371.64837,3350.06633,6789.96568
,,,,,,,108,0,11233.0142,4776.77612,2192.31899,3401.40829,3422.00877,6905.81044
,,,,,,,109,0,11298.9101,4826.52396,2196.08432,3406.63735,3368.31568,6892.82418
,,,,,,,110,0,11193.7592,4587.25112,2076.85732,3235.67904,3131.26313,6620.88351
,,,,,,,111,0,11397.3165,4366.33338,2017.95806,3140.9123,2917.02446,6570.93134
,,,,,,,112,0,12280.2281,4418.37999,2036.7616,3235.81011,2915.43062,7072.99714
,,,,,,,113,0,13389.7318,4731.6742,2205.98439,3508.73561,3132.33623,7761.49014
,,,,,,,114,0,14622.2756,5127.82001,2392.13935,3825.77752,3375.97504,8489.47547
,,,,,,,115,0,14573.4169,5125.23123,2405.02819,3813.59414,3451.33209,8618.31959
,,,,,,,116,0,12765.555,4772.36946,2207.55988,3492.08434,3269.04304,7727.50302
,,,,,,,117,0,12298.7822,4680.4577,2162.32021,3372.93884,3143.01548,7530.49099
,,,,,,,118,0,9653.81551,4110.1695,1892.96892,2832.81311,2771.26076,6031.16808
,,,,,,,119,0,8496.02427,3825.78217,1749.89836,2616.49066,2602.77979,5397.95246
,,,,,,,120,0,7758.24217,3676.1938,1666.0886,2436.77169,2460.58867,4994.54984
,,,,,,,121,0,6974.34471,3530.24625,1602.89116,2251.15335,2298.23865,4484.83706
,,,,,,,122,0,6525.21538,3386.9896,1520.62013,2148.55062,2209.07927,4211.22683
,,,,,,,123,0,6291.88959,3381.81805,1481.14028,2109.12563,2180.26457,4113.41009
,,,,,,,124,0,6191.9432,3353.85519,1443.76811,2101.62331,2192.99403,4096.88949
,,,,,,,125,0,6142.06643,3457.69203,1475.59617,2143.39201,2205.38966,4112.52669
,,,,,,,126,0,6582.66053,3624.18573,1554.30879,2300.9837,2322.17518,4363.82449
,,,,,,,127,0,7975.2702,4063.28906,1778.28824,2698.36521,2590.94656,5217.64962
,,,,,,,128,0,10319.3002,4744.42154,2106.02351,3285.13606,2960.93607,6510.48315
,,,,,,,129,0,10893.3318,4975.41138,2221.17552,3471.12926,3124.32613,6779.83202
,,,,,,,130,0,10954.8476,5062.22552,2244.95242,3490.90852,3239.05054,6720.94461
,,,,,,,131,0,10620.3874,5088.3474,2226.0323,3441.92163,3195.32662,6453.66846
,,,,,,,132,0,10912.232,5154.00747,2275.13619,3521.39364,3253.84809,6599.61557
,,,,,,,133,0,11121.2283,5193.02824,2308.27972,3557.399,3261.28231,6711.48172
,,,,,,,134,0,10982.0022,5056.4951,2212.21449,3408.76057,3213.85503,6574.39507
,,,,,,,135,0,11133.0987,4672.11181,2076.73002,3243.3361,3116.40796,6591.39932
,,,,,,,136,0,11865.4133,4767.78056,2107.12613,3347.10478,3021.15339,6798.62483
,,,,,,,137,0,12883.6419,5010.2168,2194.32041,3561.93218,3197.99248,7347.60199
,,,,,,,138,0,14061.7888,5273.3881,2328.20573,3795.40645,3426.35762,7985.14053
,,,,,,,139,0,13546.3333,5113.93189,2296.40729,3737.50415,3366.13654,7844.20451
,,,,,,,140,0,11687.6799,4663.93636,2106.96765,3327.17924,3135.09927,6895.17151
,,,,,,,141,0,11062.1898,4534.68964,2003.75055,3153.24024,2994.96579,6579.28369
,,,,,,,142,0,9072.64102,3783.17274,1697.33245,2694.01,2663.73134,5492.35929
,,,,,,,143,0,8159.27315,3586.05056,1612.44024,2476.16414,2433.92531,4978.26955
,,,,,,,144,0,7478.9893,3454.45006,1512.07074,2307.92073,2389.87661,4643.28304
,,,,,,,145,0,6931.79487,3340.53936,1428.46561,2176.96818,2225.30901,4388.02199
,,,,,,,146,0,6182.6522,3177.07363,1361.31031,2007.51285,2109.18531,3942.0868
,,,,,,,147,0,5931.47044,3162.40725,1331.89878,1959.01779,2068.55876,3803.95307
,,,,,,,148,0,5757.89043,3164.54121,1292.68174,1933.39807,2038.29906,3736.47095
,,,,,,,149,0,5599.38178,3177.00305,1292.37619,1915.42767,2015.48779,3662.88464
,,,,,,,150,0,5926.16774,3316.49631,1364.52238,2036.73611,2176.20681,3912.15902
,,,,,,,151,0,6248.7945,3527.54761,1446.11775,2158.91439,2360.60928,4150.16435
,,,,,,,152,0,6725.21742,3826.91485,1568.59622,2350.48368,2562.49378,4428.61673
,,,,,,,153,0,7088.10796,4060.73994,1661.99352,2525.842,2628.12244,4572.65888
,,,,,,,154,0,7783.72129,4323.53758,1800.51641,2704.75511,2832.71475,4973.97181
,,,,,,,155,0,8325.74219,4519.28268,1904.47734,2852.99674,2978.07524,5233.89898
,,,,,,,156,0,8994.55146,4606.20639,1991.96095,2977.84564,3027.87976,5491.97816
,,,,,,,157,0,9697.08108,4756.12874,2043.45454,3065.37105,3127.21971,5796.58768
,,,,,,,158,0,9624.62789,4511.74248,2002.12635,2876.27302,2942.15109,5674.81685
,,,,,,,159,0,9708.53915,4403.38544,1966.41401,2804.75347,2782.79603,5533.1457
,,,,,,,160,0,9547.37745,4276.39058,1898.50388,2740.01469,2648.2204,5383.61864
,,,,,,,161,0,9832.24895,4449.04152,1926.21167,2858.20968,2753.99395,5527.41313
,,,,,,,162,0,9657.59544,4452.25246,1924.55851,2827.66805,2833.14059,5453.79338
,,,,,,,163,0,10987.1138,4682.55766,2089.62112,3101.85807,3048.60801,6274.38267
,,,,,,,164,0,10864.7609,4595.80499,2044.67162,3094.04432,3025.93831,6285.43792
,,,,,,,165,0,10264.3506,4507.08808,1968.70101,2979.34886,2960.51511,6081.35567
,,,,,,,166,0,9768.33719,4386.06865,1902.45153,2878.37058,2933.68238,5871.80098
,,,,,,,167,0,9121.11556,4142.33918,1816.91799,2728.36898,2773.95773,5543.15401
,,,,,,,168,0,8100.75841,3882.75204,1679.02834,2505.37076,2545.86451,5028.71275
,,,,,,,169,0,6746.02568,3595.218,1532.7166,2268.1202,2283.44189,4323.21145
,,,,,,,170,0,6038.98631,3412.90884,1458.46764,2127.15675,2173.5253,3894.05442
,,,,,,,171,0,5791.00461,3466.85491,1465.87679,2121.80165,2159.73979,3808.22303
,,,,,,,172,0,5588.2902,3468.34023,1447.04499,2109.63304,2153.39586,3775.86546
,,,,,,,173,0,5468.3135,3525.64166,1466.61458,2110.29027,2144.91142,3761.37002
,,,,,,,174,0,5672.52287,3688.34468,1546.63971,2212.07204,2261.98098,3902.93223
,,,,,,,175,0,5866.65137,3844.06793,1608.76475,2304.91768,2384.91535,4053.02833
,,,,,,,176,0,6233.49855,4107.76948,1678.23106,2391.24918,2462.62788,4253.04349
,,,,,,,177,0,6377.03468,4126.90018,1730.12908,2439.01513,2487.20139,4338.85766
,,,,,,,178,0,6900.09994,4286.98841,1792.27403,2597.55823,2604.15846,4642.2906
,,,,,,,179,0,7355.33219,4352.75989,1885.83995,2706.12915,2600.46713,4893.72923
,,,,,,,180,0,7986.2607,4434.36521,1952.58554,2842.24324,2692.46776,5263.88919
,,,,,,,181,0,8607.48353,4511.08329,2005.14115,2939.15361,2802.72951,5545.05468
,,,,,,,182,0,8634.638,4228.75589,1883.26879,2814.51433,2621.4348,5411.18477
,,,,,,,183,0,8775.84177,3957.64071,1766.99572,2673.7928,2413.34946,5324.18874
,,,,,,,184,0,8752.51846,3857.06042,1695.70345,2586.65267,2351.52461,5224.35359
,,,,,,,185,0,9008.9632,3960.09056,1767.1586,2656.0607,2416.79099,5373.16627
,,,,,,,186,0,8951.41198,4035.4627,1777.42401,2683.54906,2540.58196,5350.46949
,,,,,,,187,0,10451.7796,4325.81908,1950.75254,2990.67511,2779.36503,6171.95708
,,,,,,,188,0,10410.6303,4276.77871,1927.65525,2965.00014,2771.30568,6114.64163
,,,,,,,189,0,9925.63475,4148.04688,1876.03544,2863.94405,2662.55674,5850.55534
,,,,,,,190,0,9358.0449,3977.34967,1825.84605,2750.89613,2614.76434,5634.3059
,,,,,,,191,0,8680.10098,3752.12184,1723.24783,2543.39201,2463.2896,5250.29002
,,,,,,,192,0,7621.16032,3348.84393,1523.56535,2341.85073,2252.19347,4653.70074
,,,,,,,193,0,6311.85271,3153.04787,1423.38695,2032.16377,2035.52999,4046.92175
,,,,,,,194,0,5961.62497,3056.1425,1374.18786,1955.13084,1921.91654,3812.02416
,,,,,,,195,0,5734.62342,3079.98534,1356.92344,1945.82421,1905.01558,3697.4909
,,,,,,,196,0,5716.77,3144.74015,1350.23496,1974.5543,1971.31341,3740.60707
,,,,,,,197,0,5733.40352,3222.18935,1395.62647,2023.23571,2047.21386,3796.26189
,,,,,,,198,0,6244.85605,3464.59639,1506.99684,2219.12738,2214.2264,4156.43588
,,,,,,,199,0,7777.79833,4021.24089,1778.8508,2667.19238,2510.02201,5185.02143
,,,,,,,200,0,10231.6997,4746.35481,2105.52003,3274.89481,2910.53199,6651.48384
,,,,,,,201,0,10824.0501,4858.06377,2198.51515,3412.40205,3113.99057,6975.65401
,,,,,,,202,0,10686.0368,4831.32774,2184.61896,3398.81362,3196.81796,6811.27921
,,,,,,,203,0,10316.9271,4838.57128,2158.90103,3359.10444,3102.76221,6510.91031
,,,,,,,204,0,10612.1085,4882.50088,2204.40386,3446.5516,3132.47724,6633.03508
,,,,,,,205,0,10823.9019,4918.25112,2199.43524,3457.26867,3164.62052,6621.2228
,,,,,,,206,0,10579.0793,4630.90765,2079.34655,3282.3501,2932.93769,6327.16331
,,,,,,,207,0,10609.875,4345.13235,1968.06457,3106.16074,2739.29181,6235.57225
,,,,,,,208,0,11193.8715,4282.8641,1961.66361,3194.60645,2636.43589,6350.19145
,,,,,,,209,0,12198.7921,4547.54379,2070.50855,3393.83814,2818.66624,6968.89316
,,,,,,,210,0,13442.425,4938.29882,2234.06599,3667.32666,3079.36392,7621.8093
,,,,,,,211,0,13616.1388,4944.76522,2293.25745,3711.38976,3203.96938,7823.37886
,,,,,,,212,0,12021.3173,4638.48706,2136.73147,3363.37083,2968.70254,7044.36676
,,,,,,,213,0,11497.372,4391.35749,2046.08028,3199.27674,2845.87383,6802.3073
,,,,,,,214,0,9095.44818,3765.41981,1746.23212,2635.12147,2526.78485,5434.73073
,,,,,,,215,0,7979.6018,3444.40511,1568.76861,2363.75807,2323.23217,4798.82358
,,,,,,,216,0,7175.29253,3238.53811,1461.32671,2141.98241,2132.86148,4342.04211
,,,,,,,217,0,6388.83515,3038.82202,1351.45537,1963.03315,1983.26445,3935.74543
,,,,,,,218,0,5890.7405,2851.78733,1268.82982,1838.44028,1865.29804,3612.54417
,,,,,,,219,0,5604.6981,2807.88612,1208.13127,1766.94269,1817.16949,3435.39183
,,,,,,,220,0,5515.40069,2794.17619,1170.62753,1738.09335,1779.92333,3436.46129
,,,,,,,221,0,5486.89835,2849.68454,1174.98986,1754.37755,1828.25938,3472.76085
,,,,,,,222,0,5985.28653,3052.75739,1267.7314,1900.15598,1986.00001,3781.92202
,,,,,,,223,0,7395.10688,3457.33939,1486.51425,2262.5654,2277.40404,4708.95592
,,,,,,,224,0,9783.18569,4135.56735,1832.39916,2836.28001,2710.01481,6169.35585
,,,,,,,225,0,10386.4384,4314.96729,1936.65394,3024.4563,2864.08675,6444.2516
,,,,,,,226,0,10269.9498,4275.23944,1911.14994,3028.11989,2883.66772,6273.57045
,,,,,,,227,0,9978.92416,4274.84446,1923.49654,3002.87491,2881.47776,6012.38282
,,,,,,,228,0,10359.4093,4395.74468,1967.5589,3059.42587,2947.70659,6126.68212
,,,,,,,229,0,10633.6719,4492.89764,2012.1077,3080.78057,2991.02521,6214.56325
