Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State,,Net+Recirc-Gross,Recirc-heating-fixed-var-magnet
1.98E-05,8216.811026,11447.05026,3230.239233,2.12E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.378103965,28928.78555,0.224938145,27158.81235,42.10523599,,,
1.98E-05,8216.811025,11447.05026,3230.239233,2.12E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.374059842,29238.15795,0.220479459,27696.98504,42.10523599,,,
1.98E-05,8216.811026,11447.05026,3230.239233,2.12E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.369061642,29375.20125,0.218035981,28131.16904,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.07E-07,421.05236,2388.134513,28657.62562,28617.62565,0.363952825,29391.09437,0.217240042,28486.1375,42.105236,,,
2.00E-05,8216.811026,11447.05026,3230.239233,2.07E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.35940964,29309.85412,0.217754055,28768.37166,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.07E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.355870489,29165.64303,0.219292335,28989.05377,42.10523599,,,
2.00E-05,8216.811025,11447.05026,3230.239233,2.08E-07,421.05236,2388.134513,28657.62562,28617.62565,0.353637503,28978.03426,0.221529483,29139.62774,42.105236,,,
2.00E-05,8216.811025,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62564,0.352995542,28749.50793,0.224241875,29242.0207,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.38E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.353616638,28568.08837,0.22719914,29294.7795,42.10523599,,,
1.99E-05,8216.811027,11447.05026,3230.239234,2.14E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.354857581,28479.05543,0.23035342,29337.22726,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.14E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.356286032,28452.12149,0.233707591,29380.29442,42.10523599,,,
2.00E-05,8216.811026,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.357520029,28480.0508,0.237210195,29412.27472,42.10523599,,,
2.00E-05,8216.811026,11447.05026,3230.239233,2.07E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.358591443,28503.40231,0.240751475,29420.6078,42.10523599,,,
2.00E-05,8216.811025,11447.05026,3230.239233,2.07E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.359939499,28463.66572,0.244098639,29378.78481,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.361906941,28374.69829,0.24709412,29303.01328,42.10523599,,,
