Segment,1,Total
Zone,1,0
t115,8.353944449857044e-10,8.353944449857044e-10
t116,8.322471751931018e-10,8.322471751931018e-10
t117,8.294151462427012e-10,8.294151462427012e-10
t118,8.297773748238345e-10,8.297773748238345e-10
t119,8.315577053731093e-10,8.315577053731093e-10
t120,8.326677969592164e-10,8.326677969592164e-10
t121,8.313437979103296e-10,8.313437979103296e-10
t122,8.288563699162005e-10,8.288563699162005e-10
t123,8.259252138584064e-10,8.259252138584064e-10
t124,8.224991345204097e-10,8.224991345204097e-10
t125,8.195089740482833e-10,8.195089740482833e-10
t126,8.181447506955023e-10,8.181447506955023e-10
t127,8.172686275908994e-10,8.172686275908994e-10
t128,8.173930028161447e-10,8.173930028161447e-10
t129,8.182923491187633e-10,8.182923491187633e-10
t130,8.202673316185919e-10,8.202673316185919e-10
t131,8.253531642114947e-10,8.253531642114947e-10
t132,8.302506853865041e-10,8.302506853865041e-10
t133,8.306170220767851e-10,8.306170220767851e-10
t134,8.353035122015193e-10,8.353035122015193e-10
t135,8.363865442927473e-10,8.363865442927473e-10
t136,8.369675696685972e-10,8.369675696685972e-10
t137,8.3757684831281e-10,8.3757684831281e-10
t138,8.361388593934727e-10,8.361388593934727e-10
t139,8.347215847771908e-10,8.347215847771908e-10
t140,8.331345878971595e-10,8.331345878971595e-10
t141,8.317612113050853e-10,8.317612113050853e-10
t142,8.299543256394419e-10,8.299543256394419e-10
t143,8.326758439474271e-10,8.326758439474271e-10
t144,8.326469925576514e-10,8.326469925576514e-10
t145,8.308681873561873e-10,8.308681873561873e-10
t146,8.293066770283282e-10,8.293066770283282e-10
t147,8.264942956922294e-10,8.264942956922294e-10
t148,8.229984508112827e-10,8.229984508112827e-10
t149,8.200739319909781e-10,8.200739319909781e-10
t150,8.181358847935141e-10,8.181358847935141e-10
t151,8.177729893978285e-10,8.177729893978285e-10
t152,8.177325929874071e-10,8.177325929874071e-10
t153,8.187298124252983e-10,8.187298124252983e-10
t154,8.210016224028273e-10,8.210016224028273e-10
t155,8.252128094539664e-10,8.252128094539664e-10
t156,8.305773014364679e-10,8.305773014364679e-10
t157,8.306557175111969e-10,8.306557175111969e-10
t158,8.344927276413259e-10,8.344927276413259e-10
t159,8.374386345107134e-10,8.374386345107134e-10
t160,8.367289438818684e-10,8.367289438818684e-10
t161,8.370391627657315e-10,8.370391627657315e-10
t162,8.361231081730984e-10,8.361231081730984e-10
t163,8.34891116597251e-10,8.34891116597251e-10
t164,8.333406888815843e-10,8.333406888815843e-10
t165,8.309177884340804e-10,8.309177884340804e-10
t166,8.306475209517502e-10,8.306475209517502e-10
t167,8.325049526457847e-10,8.325049526457847e-10
t168,8.325835906082301e-10,8.325835906082301e-10
t169,8.310029270978109e-10,8.310029270978109e-10
t170,8.287809030789927e-10,8.287809030789927e-10
t171,8.262666512374741e-10,8.262666512374741e-10
t172,8.227710493181461e-10,8.227710493181461e-10
