Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.551390959809645
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.56412703154369
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.576868412611226
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.56412703154369
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-30.576868412611226
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.085858585858586
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.085858585858586
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.085858585858586
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.079503402980932
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.08162091441597
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.083739308585858
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.085858585858586
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.087978746602295
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.090099791185282
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.572377529489707
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.584705476261668
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.59703856223055
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.609376789538754
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.59703856223055
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.609376789538754
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.621720160329563
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.634068676747166
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.646422340936635
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.59703856223055
