Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t5336,32448.83460972463,0.0,0.0,0.0,13114.419679361261,9698.564985150766,0.0,1753.9751703646205,52.20555539872748,0.0,0.0,57068.00000000001
t5337,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,1506.2472038440726,17140.824022582194,0.0,0.0,67172.25291845307
t5338,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,886.9272875427026,35099.535079744455,0.0,0.0,84511.64405931396
t5339,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,1312.040711571791,47454.84985744329,0.0,0.0,97292.07226104187
t5340,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,353.2417300385591,53275.76928440141,0.0,0.0,102154.19270646677
t5341,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,264.54900128428886,56312.39242342765,0.0,0.0,105102.12311673875
t5342,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,949.6238716621006,57321.69982780279,0.0,0.0,106796.5053914917
t5343,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,2150.034079801793,57391.307235001084,0.0,0.0,108066.52300682967
t5344,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,2697.4823021126335,56033.96279463417,0.0,0.0,107256.6267887736
t5345,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,2506.334179797396,52631.9007678171,0.0,0.0,103663.41663964129
t5346,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,2212.7306639211906,47132.915599151136,0.0,0.0,97870.82795509913
t5347,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,3433.0202767816677,36865.823037401395,6407.974993790281,0.0,95232.00000000015
t5348,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150844,0.0,4040.1067132548633,21378.17493577891,9892.95450795171,0.0,91445.0
t5349,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150844,0.0,5771.144108941662,348.03703599151663,26312.05501205231,0.0,88565.00000000001
t5350,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150844,0.0,7070.951340685264,0.0,21783.28481630022,0.0,84988.0
t5351,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150844,0.0,6115.21072910908,0.0,17507.025427876404,0.0,79756.0
t5352,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150844,0.0,4361.235558744462,0.0,13145.000598241022,0.0,73640.0
t5353,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150882,0.0,4523.329166467789,0.0,7645.906990517655,0.0,68303.00000000001
t5354,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150882,0.0,3988.1144239851637,0.0,4116.12173300028,0.0,64238.000000000015
t5355,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150766,0.0,3957.5307244146825,0.0,1103.7054325708723,0.0,61195.0
t5356,32448.83460972463,0.0,0.0,0.0,8773.980772729821,9698.564985150766,0.0,3581.351219698303,0.0,4485.268412696491,0.0,58988.00000000001
t5357,32448.83460972463,0.0,0.0,0.0,11206.684223201388,9698.564985150766,0.0,4134.916181923218,0.0,0.0,0.0,57489.0
t5358,32448.83460972463,0.0,0.0,0.0,10755.139616762353,9698.564985150766,0.0,4032.460788362253,0.0,0.0,0.0,56935.0
t5359,32448.83460972463,0.0,0.0,0.0,11198.552601306916,9698.564985150766,0.0,3644.0478038176902,0.0,0.0,0.0,56990.0
t5360,32448.83460972463,0.0,0.0,0.0,12396.499705155387,9698.564985150766,0.0,2494.1006999692204,0.0,0.0,0.0,57038.00000000001
t5361,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,2186.734519286318,15061.302732532877,0.0,0.0,65773.21894384599
t5362,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,1379.3248506267548,32933.00453069726,0.0,0.0,82837.51107335082
t5363,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,1732.5665806653137,44983.78690190352,0.0,0.0,95241.53517459563
t5364,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,1750.9168004075768,51048.3322540557,0.0,0.0,101324.43074649008
t5365,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,1266.165162216134,54694.02020606655,0.0,0.0,104485.36706030948
t5366,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,2974.2647832250977,55189.972982354746,0.0,0.0,106689.41945760665
t5367,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,4894.921116248599,56051.36464643375,0.0,0.0,109471.46745470914
t5368,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,4251.134240290878,55250.87946365326,0.0,0.0,108027.19539597095
t5369,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,5304.742690492474,52048.938732531315,0.0,0.0,105878.8631150506
t5370,32448.83460972463,0.0,0.0,0.0,6377.7820971514075,9698.564985150766,0.0,5480.598963022494,46810.98134085898,0.0,0.0,100816.76199590828
t5371,32448.83460972463,0.0,0.0,0.0,13591.93373651533,9698.564985150766,0.0,4957.617700368003,35230.048968241266,0.0,0.0,95927.0
t5372,32448.83460972463,0.0,0.0,1720.1937859704387,13986.36424813905,9698.564985150766,0.0,7613.81200806054,19211.644386731718,7060.5859762228565,0.0,91740.0
t5373,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,8468.626411054287,426.3453690896078,21626.461586262863,0.0,89343.00000000003
t5374,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,7173.406734246233,0.0,20210.026632160512,0.0,86205.00000000001
t5375,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,6404.22669004972,0.0,15202.20667635703,0.0,80428.00000000001
t5376,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,4589.084120544849,0.0,10856.349245861893,0.0,74267.0
t5377,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,4498.862206811439,0.0,5825.57115959531,0.0,69146.0
t5378,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,3246.4597094019955,0.0,3749.9736570047444,0.0,65818.0
t5379,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,2868.751019707086,0.0,1890.6823466996584,0.0,63581.0
t5380,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,2330.4779072673773,0.0,1080.9554591393662,0.0,62233.0
t5381,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,1714.216360923051,0.0,1357.217005483696,0.0,61893.00000000001
t5382,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,1261.5776072805684,0.0,3397.855759126176,0.0,63481.0
t5383,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,1042.9041553519364,0.0,6285.529211054808,0.0,66150.0
t5384,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,1275.3402720872655,0.0,7232.09309431948,0.0,67329.0
t5385,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,1120.8925892565535,10580.325894142105,238.21488300807596,0.0,70760.99999999999
t5386,32448.83460972463,0.0,0.0,1225.6380725039376,13986.36424813905,9698.564985150766,0.0,591.7945866879757,28156.1962117137,0.0,0.0,86107.39271392007
t5387,32448.83460972463,0.0,0.0,1225.6380725039376,13986.36424813905,9698.564985150766,0.0,463.343048492136,44157.198941423674,0.0,0.0,101979.9439054342
t5388,32448.83460972463,0.0,0.0,1225.6380725039376,13986.36424813905,9698.564985150766,0.0,380.76705965195333,50735.098921663215,0.0,0.0,108475.26789683355
t5389,32448.83460972463,0.0,0.0,1225.6380725039376,13986.36424813905,9698.564985150766,0.0,1224.8771677960428,53354.07761749949,0.0,0.0,111938.35670081392
t5390,32448.83460972463,0.0,0.0,1225.6380725039376,13986.36424813905,9698.564985150766,0.0,1373.2081107126671,53867.432245586984,0.0,0.0,112600.04227181803
t5391,32448.83460972463,0.0,0.0,1225.6380725039376,13986.36424813905,9698.564985150766,0.0,3998.8187188347474,53719.5165052906,0.0,0.0,115077.73713964372
t5392,32448.83460972463,0.0,0.0,1225.6380725039376,13986.36424813905,9698.564985150766,0.0,4095.1573724816553,53893.53502328635,0.0,0.0,115348.09431128639
t5393,32448.83460972463,0.0,0.0,1225.6380725039376,13986.36424813905,9698.564985150766,0.0,4829.166162172164,51805.31280733725,0.0,0.0,113993.8808850278
t5394,32448.83460972463,0.0,0.0,1225.6380725039376,13986.36424813905,9698.564985150766,0.0,4339.826969045155,45497.141529991015,0.0,0.0,107196.37041455455
t5395,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,7017.4298664370035,32576.266568805957,1295.7369311637813,0.0,99711.0
t5396,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,6651.954656570277,16827.59069018983,13366.888019646645,0.0,95668.00000000001
t5397,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,6641.250361720617,0.0,27748.18300468613,0.0,93211.0
t5398,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,5055.485538993405,0.0,25058.947827413343,0.0,88936.0
t5399,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,3347.3859179844403,0.0,19955.047448422305,0.0,82124.0
t5400,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,4420.873772906809,0.0,11790.559593499938,0.0,75033.00000000001
t5401,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,3911.6551750590306,0.0,6450.778191347718,0.0,69184.00000000001
t5402,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,3218.9343797885995,0.0,3112.498986618142,0.0,65153.0
t5403,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,2543.0346192819216,0.0,823.3987471248238,0.0,62188.0
t5404,32448.83460972463,0.0,0.0,2126.2995402722117,13986.36424813905,9698.564985150766,0.0,2013.936616713344,0.0,0.0,0.0,60274.0
t5405,32448.83460972463,0.0,0.0,2551.45645227796,13986.36424813905,9698.564985150766,0.0,1088.7797047075935,0.0,0.0,0.0,59774.0
t5406,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,1192.7642832470829,0.0,1255.6690831596634,0.0,61270.0
t5407,32448.83460972463,0.0,0.0,2687.8027905788103,13986.36424813905,9698.564985150766,0.0,1602.5858574909523,0.0,3606.847508915793,0.0,64031.00000000001
t5408,32448.83460972463,0.0,0.0,1720.1937859704387,13986.36424813905,9698.564985150766,0.0,1506.2472038440726,0.0,5779.795167171042,0.0,65140.0
t5409,32448.83460972463,0.0,0.0,0.0,10160.235324031932,9698.564985150766,0.0,1533.7725334574668,14965.592547635213,0.0,0.0,68807.0
t5410,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150766,0.0,1260.0484223020464,33629.078602680296,0.0,0.0,91022.89086799679
t5411,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150766,0.0,1643.8738519110436,46628.26189696345,0.0,0.0,104405.89959188894
t5412,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150766,0.0,2150.034079801793,53484.591505996315,0.0,0.0,111768.38942881256
t5413,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150766,0.0,2509.3925497544396,56956.260940011685,0.0,0.0,115599.41733278058
t5414,32448.83460972463,0.0,0.0,0.0,13986.36424813905,9698.564985150766,0.0,4550.854496081167,57904.66186308857,0.0,0.0,118589.28020218419
