1,2,3,4,5,6
0.012743354,0.00955432,0.019108641,0.00955432,0.019108641,0.015266136
0.041391553,0.016095735,0.022212521,0.016095735,0.022212521,0.012755657
0.139113636,0.101890936,0.085418853,0.101890936,0.085418853,0.070281692
0.162740385,0.082931506,0.078670189,0.082931506,0.078670189,0.09610743
0.212299671,0.136848813,0.144219504,0.136848813,0.144219504,0.17117147
0.171681932,0.105482988,0.106797499,0.105482988,0.106797499,0.121855786
0.117620987,0.069538164,0.075792709,0.069538164,0.075792709,0.108895783
0.380654563,0.464202504,0.39897853,0.464202504,0.39897853,0.437788236
0.233836741,0.259905827,0.260308272,0.259905827,0.260308272,0.225525503
0.000403604,0,0,0,0,0
