Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,409,14531.902999999998
,,,,,,,410,13911.449
,,,,,,,411,13134.126
,,,,,,,412,12279.904
,,,,,,,413,11470.853
,,,,,,,414,10903.17
,,,,,,,415,10552.579
,,,,,,,416,10415.182
,,,,,,,417,10438.067
,,,,,,,418,10752.175
,,,,,,,419,11458.737
,,,,,,,420,12506.504
,,,,,,,421,13399.699
,,,,,,,422,14189.206999999999
,,,,,,,423,15052.161
,,,,,,,424,15241.404999999999
,,,,,,,425,15253.526
,,,,,,,426,14992.862
,,,,,,,427,15059.760999999999
,,,,,,,428,14717.647000000003
,,,,,,,429,14727.598
,,,,,,,430,15286.569
,,,,,,,431,16310.888000000003
,,,,,,,432,16085.523
,,,,,,,433,15500.722
,,,,,,,434,14810.090999999999
,,,,,,,435,13966.66
,,,,,,,436,12980.591
,,,,,,,437,12160.024
,,,,,,,438,11636.717
,,,,,,,439,11399.488
,,,,,,,440,11312.616
,,,,,,,441,11393.963
,,,,,,,442,11782.34
,,,,,,,443,12688.197
,,,,,,,444,14117.415
,,,,,,,445,15200.586000000001
,,,,,,,446,15761.408000000001
,,,,,,,447,16114.222999999998
,,,,,,,448,16445.354
,,,,,,,449,16158.353
,,,,,,,450,16089.08
,,,,,,,451,15900.749000000002
,,,,,,,452,15248.982
,,,,,,,453,15308.653
,,,,,,,454,15784.695999999998
,,,,,,,455,16676.388
,,,,,,,456,16482.848
,,,,,,,457,15868.492000000002
,,,,,,,458,15132.744
,,,,,,,459,14227.246
,,,,,,,460,13203.568
,,,,,,,461,12347.952
,,,,,,,462,11770.461
,,,,,,,463,11461.094
,,,,,,,464,11311.58
,,,,,,,465,11317.616
,,,,,,,466,11632.894
,,,,,,,467,12440.415
,,,,,,,468,13774.673
,,,,,,,469,14902.748
,,,,,,,470,15547.121
,,,,,,,471,16079.034
,,,,,,,472,16295.291000000001
,,,,,,,473,16287.8
,,,,,,,474,16239.633
,,,,,,,475,16019.33
,,,,,,,476,15894.205000000002
,,,,,,,477,15594.638000000003
,,,,,,,478,16009.1
,,,,,,,479,16957.52
,,,,,,,480,16904.482
,,,,,,,481,16405.114
,,,,,,,482,15751.275
,,,,,,,483,14853.176
,,,,,,,484,13863.644
,,,,,,,485,13267.815
,,,,,,,486,12450.263
,,,,,,,487,12162.731
,,,,,,,488,12073.356
,,,,,,,489,12131.226
,,,,,,,490,12470.718
,,,,,,,491,13345.22
,,,,,,,492,14749.948
,,,,,,,493,15891.630000000001
,,,,,,,494,16480.341
,,,,,,,495,16878.587
,,,,,,,496,17080.444
,,,,,,,497,16858.528
,,,,,,,498,16901.203
,,,,,,,499,16713.629
,,,,,,,500,16816.542
,,,,,,,501,16524.32
,,,,,,,502,16438.991
,,,,,,,503,17132.835
,,,,,,,504,16921.574
,,,,,,,505,16420.063
,,,,,,,506,15689.411000000002
,,,,,,,507,14701.854999999998
,,,,,,,508,13562.839
,,,,,,,509,12618.118
,,,,,,,510,11985.741
,,,,,,,511,11618.736
,,,,,,,512,11438.858
,,,,,,,513,11438.174
,,,,,,,514,11749.367
,,,,,,,515,12576.06
,,,,,,,516,13902.269
,,,,,,,517,14961.118
,,,,,,,518,15503.087
,,,,,,,519,15986.308
,,,,,,,520,16411.101
,,,,,,,521,16262.15
,,,,,,,522,15676.080999999998
,,,,,,,523,15348.327000000001
,,,,,,,524,15050.337
,,,,,,,525,14878.204
,,,,,,,526,15241.864
,,,,,,,527,16006.202
,,,,,,,528,15811.869999999999
,,,,,,,529,15295.899
,,,,,,,530,14694.098000000002
,,,,,,,531,13963.884
,,,,,,,532,13071.264
,,,,,,,533,12270.301
,,,,,,,534,11678.174
,,,,,,,535,11347.534
,,,,,,,536,11195.777
,,,,,,,537,11190.829
,,,,,,,538,11379.926
,,,,,,,539,11817.816
,,,,,,,540,12540.67
,,,,,,,541,13319.095
,,,,,,,542,14367.425000000001
,,,,,,,543,15251.494000000002
,,,,,,,544,15878.650999999998
,,,,,,,545,15908.231
,,,,,,,546,15930.015999999998
,,,,,,,547,15434.616
,,,,,,,548,15259.970000000001
,,,,,,,549,15317.101
,,,,,,,550,15655.812
,,,,,,,551,16726.634
,,,,,,,552,16713.577
,,,,,,,553,16278.624
,,,,,,,554,15770.794999999998
,,,,,,,555,15117.999
,,,,,,,556,14344.136
,,,,,,,557,13623.053
,,,,,,,558,13089.183
,,,,,,,559,12754.989
,,,,,,,560,12576.394
,,,,,,,561,12532.202
,,,,,,,562,12652.155
,,,,,,,563,12943.457
,,,,,,,564,13448.151
,,,,,,,565,14063.776
,,,,,,,566,14886.723999999998
,,,,,,,567,15566.962
,,,,,,,568,16082.147000000003
,,,,,,,569,16096.399
,,,,,,,570,16155.394
,,,,,,,571,16170.654
,,,,,,,572,15934.368
,,,,,,,573,15697.053
,,,,,,,574,16082.065999999999
,,,,,,,575,17046.125
,,,,,,,576,17001.411
,,,,,,,577,16546.909
,,,,,,,578,15889.257000000001
,,,,,,,579,15021.222
,,,,,,,580,14041.581
,,,,,,,581,13207.219
,,,,,,,582,12700.153
,,,,,,,583,12428.622
,,,,,,,584,12346.187
,,,,,,,585,12417.646
,,,,,,,586,12813.937
,,,,,,,587,13711.26
,,,,,,,588,15145.993
,,,,,,,589,16298.944
,,,,,,,590,17071.891
,,,,,,,591,17231.521
,,,,,,,592,17320.643
,,,,,,,593,17703.044
,,,,,,,594,16963.375
,,,,,,,595,16524.878
,,,,,,,596,16004.535
,,,,,,,597,16004.587
,,,,,,,598,16315.037000000002
,,,,,,,599,17392.135
,,,,,,,600,17250.241
,,,,,,,601,16691.109
,,,,,,,602,15943.466
,,,,,,,603,14993.167000000001
,,,,,,,604,13901.273
,,,,,,,605,12978.608
,,,,,,,606,12368.478
,,,,,,,607,12057.945
,,,,,,,608,11947.426
,,,,,,,609,12030.601
,,,,,,,610,12374.039
,,,,,,,611,13261.652
,,,,,,,612,14679.059
,,,,,,,613,15751.128000000002
,,,,,,,614,16518.814
,,,,,,,615,16632.807
,,,,,,,616,16942.566
,,,,,,,617,16925.348
,,,,,,,618,16538.273
,,,,,,,619,16373.747000000001
,,,,,,,620,16386.466
,,,,,,,621,16483.948
,,,,,,,622,16700.535
,,,,,,,623,17381.887
,,,,,,,624,17126.052
,,,,,,,625,16507.9
,,,,,,,626,15709.465000000002
,,,,,,,627,14728.113
,,,,,,,628,13629.665
,,,,,,,629,12705.103
,,,,,,,630,12093.144
,,,,,,,631,11751.515
,,,,,,,632,11580.146
,,,,,,,633,11591.327
,,,,,,,634,11907.783
,,,,,,,635,12733.679
,,,,,,,636,14000.704000000002
,,,,,,,637,15084.343
,,,,,,,638,15951.42
,,,,,,,639,16571.36
,,,,,,,640,16729.216
,,,,,,,641,16873.258
,,,,,,,642,16783.198
,,,,,,,643,17036.432
,,,,,,,644,16374.752
,,,,,,,645,15912.021000000002
,,,,,,,646,16166.306
,,,,,,,647,17010.769
,,,,,,,648,16825.115
,,,,,,,649,16180.404999999999
,,,,,,,650,15428.576
,,,,,,,651,14472.506999999998
,,,,,,,652,13424.025
,,,,,,,653,12503.739
,,,,,,,654,11922.181
,,,,,,,655,11584.744
,,,,,,,656,11444.141
,,,,,,,657,11480.514
,,,,,,,658,11841.262
,,,,,,,659,12686.437
,,,,,,,660,14078.473
,,,,,,,661,15281.603
,,,,,,,662,16130.876999999999
,,,,,,,663,16802.57
,,,,,,,664,16990.889
,,,,,,,665,17384.236
,,,,,,,666,17247.159
,,,,,,,667,17108.848
,,,,,,,668,16601.173
,,,,,,,669,16368.972000000002
,,,,,,,670,16486.552
,,,,,,,671,17540.439
,,,,,,,672,17579.981
,,,,,,,673,17167.913
,,,,,,,674,16562.775
,,,,,,,675,15744.974
,,,,,,,676,14787.506
,,,,,,,677,13967.821000000002
,,,,,,,678,13486.467
,,,,,,,679,13224.564
,,,,,,,680,13157.677
,,,,,,,681,13227.207
,,,,,,,682,13642.973
,,,,,,,683,14602.872
,,,,,,,684,16084.791
,,,,,,,685,17276.407
,,,,,,,686,18287.028
,,,,,,,687,18953.268
,,,,,,,688,19519.534
,,,,,,,689,19625.473
,,,,,,,690,19730.106
,,,,,,,691,19205.494
,,,,,,,692,18375.277
,,,,,,,693,17848.574
,,,,,,,694,17763.838
,,,,,,,695,18533.349
,,,,,,,696,18454.833
,,,,,,,697,18023.342
,,,,,,,698,17370.971
,,,,,,,699,16610.086
,,,,,,,700,15657.050999999998
,,,,,,,701,14821.338999999998
,,,,,,,702,14235.603
,,,,,,,703,13906.797
,,,,,,,704,13734.888
,,,,,,,705,13720.071
,,,,,,,706,13862.397
,,,,,,,707,14279.927999999998
,,,,,,,708,14925.325
,,,,,,,709,15670.368
,,,,,,,710,16686.389
,,,,,,,711,17519.159
,,,,,,,712,17753.327
,,,,,,,713,18009.669
,,,,,,,714,17863.203
,,,,,,,715,17427.397
,,,,,,,716,16961.529
,,,,,,,717,16350.404999999999
,,,,,,,718,16531.113
,,,,,,,719,17542.484
,,,,,,,720,17597.474
,,,,,,,721,17115.201
,,,,,,,722,16595.433
,,,,,,,723,15947.894000000002
,,,,,,,724,15142.614
,,,,,,,725,14412.756000000001
,,,,,,,726,13890.863
,,,,,,,727,13580.439
,,,,,,,728,13447.576
,,,,,,,729,13437.749
,,,,,,,730,13580.762
,,,,,,,731,13919.002
,,,,,,,732,14484.802999999998
,,,,,,,733,15116.82
,,,,,,,734,16066.966
,,,,,,,735,16904.044
,,,,,,,736,17434.886
,,,,,,,737,17824.736
,,,,,,,738,17462.007
,,,,,,,739,17008.919
,,,,,,,740,16768.75
,,,,,,,741,16471.951
,,,,,,,742,16667.379
,,,,,,,743,17732.236
,,,,,,,744,17660.33
,,,,,,,745,17096.975
,,,,,,,746,16391.939
,,,,,,,747,15536.780999999999
,,,,,,,748,14562.036000000002
,,,,,,,749,13739.114
,,,,,,,750,13153.289
,,,,,,,751,12865.029
,,,,,,,752,12734.779
,,,,,,,753,12780.903
,,,,,,,754,13108.881
,,,,,,,755,13888.376
,,,,,,,756,15120.503999999999
,,,,,,,757,16227.485
,,,,,,,758,17082.256
,,,,,,,759,17448.526
,,,,,,,760,17523.172
,,,,,,,761,17926.2
,,,,,,,762,17836.446
,,,,,,,763,17567.042
,,,,,,,764,17191.311
,,,,,,,765,17059.044
,,,,,,,766,17304.443
,,,,,,,767,17888.942
,,,,,,,768,17569.394
,,,,,,,769,16853.932
,,,,,,,770,16003.333
,,,,,,,771,15041.112
,,,,,,,772,14019.488999999998
,,,,,,,773,13096.727
,,,,,,,774,12471.26
,,,,,,,775,12099.22
,,,,,,,776,11926.468
,,,,,,,777,11904.412
,,,,,,,778,12143.357
,,,,,,,779,12776.024
,,,,,,,780,13754.054
,,,,,,,781,14729.756999999998
,,,,,,,782,15691.225000000002
,,,,,,,783,16387.861
,,,,,,,784,16601.148
,,,,,,,785,16956.276
,,,,,,,786,17251.036
,,,,,,,787,17061.583
,,,,,,,788,16764.808
,,,,,,,789,16614.776
,,,,,,,790,16589.419
,,,,,,,791,17299.795
,,,,,,,792,17091.375
,,,,,,,793,16416.801
,,,,,,,794,15600.182
,,,,,,,795,14635.835000000001
,,,,,,,796,13550.196
,,,,,,,797,12707.335
,,,,,,,798,12121.448
,,,,,,,799,11768.2
,,,,,,,800,11618.081
