BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t7507,18719.333693954235,224.38141284071955,-4522.931106794956,0.0,0.0,0.0,3.756791834789444e-13,0.0,0.0,-14420.784000000001
t7508,14453.1908744444,465.75868820887706,-864.1495626532792,0.0,0.0,0.0,3.7608462451476203e-13,0.0,0.0,-14054.799999999997
t7509,13639.524999994694,6.236686346619783e-9,-9.293162691964966e-10,0.0,0.0,0.0,3.770484612172511e-13,0.0,0.0,-13639.525
t7510,13736.254820395554,237.83417960521766,-7.816747973550161e-10,0.0,0.0,0.0,3.7836206994742734e-13,0.0,0.0,-13974.089
t7511,13367.12616032684,1241.503839673949,-7.887264981093515e-10,0.0,0.0,0.0,3.7660358964676864e-13,0.0,0.0,-14608.629999999997
t7512,12054.15586616281,2247.9411338380073,-8.128964834170442e-10,0.0,0.0,0.0,3.762185520609134e-13,0.0,0.0,-14302.097000000002
t7513,11994.617833730546,1758.2781662702864,-8.303670288681494e-10,0.0,0.0,0.0,3.7672132713482673e-13,0.0,0.0,-13752.896
t7514,9804.24495635289,3240.5930436479316,-8.234657548879382e-10,0.0,0.0,0.0,3.786967693200522e-13,0.0,0.0,-13044.838
t7515,9008.315470152931,3137.3205298478983,-8.307558846102146e-10,0.0,0.0,0.0,3.7754040515717855e-13,0.0,0.0,-12145.636
t7516,7350.651304011777,3749.4346959890518,-8.28600210018529e-10,0.0,0.0,0.0,3.6935104094909923e-13,0.0,0.0,-11100.086
t7517,6413.71068836668,3832.4383116341783,-8.582914107988731e-10,0.0,0.0,0.0,3.5871621105569675e-13,0.0,0.0,-10246.149
t7518,7262.9110456905255,2465.622954310324,-8.498661280013968e-10,0.0,0.0,0.0,3.685894620243944e-13,0.0,0.0,-9728.534
t7519,6567.256140429059,2817.727859571805,-8.636611283544112e-10,0.0,0.0,0.0,3.704076160504935e-13,0.0,0.0,-9384.984
t7520,7313.048336159982,1924.3696638408742,-8.586317527676889e-10,0.0,0.0,0.0,3.786597784413579e-13,0.0,0.0,-9237.418
t7521,7002.823851381057,2271.768148619811,-8.687217067325802e-10,0.0,0.0,0.0,3.7849327932842916e-13,0.0,0.0,-9274.592
t7522,7905.295079828435,1674.7189201724825,-9.186778530707597e-10,0.0,0.0,0.0,3.787229153803498e-13,0.0,0.0,-9580.014
t7523,7914.695821791067,2543.613178209865,-9.327408568472358e-10,0.0,0.0,0.0,3.7868555785648566e-13,0.0,0.0,-10458.309
t7524,9845.423746851511,2108.3412531493886,-9.020038581324948e-10,0.0,0.0,0.0,3.7833094961658624e-13,0.0,0.0,-11953.765
t7525,12977.862083597696,29.76591640305712,-7.565679300762186e-10,0.0,0.0,0.0,3.787561284058916e-13,0.0,0.0,-13007.628
t7526,13606.274999991727,8.530722104568609e-9,-2.5726622222675573e-10,0.0,0.0,0.0,3.778486352741172e-13,0.0,0.0,-13606.275
t7527,13899.508585464528,2.5753231424169056e-10,-36.93858546478768,0.0,0.0,0.0,3.7712623486882115e-13,0.0,0.0,-13862.57
t7528,18074.067265923404,10.55638002982358,-3642.9356459532287,0.0,0.0,0.0,3.7597091940247787e-13,0.0,0.0,-14441.688
t7529,19563.36951492569,118.89418845188396,-5122.494703377572,0.0,0.0,0.0,3.7584243802984224e-13,0.0,0.0,-14559.768999999998
t7530,20090.833647916785,77.45665914034592,-5372.240307057135,0.0,0.0,0.0,3.755986337034629e-13,0.0,0.0,-14796.050000000001
t7531,19393.397031295113,133.47927171527598,-5004.234303010387,0.0,0.0,0.0,3.7494994957772804e-13,0.0,0.0,-14522.642000000002
t7532,15799.217580433118,344.95151610072645,-2297.7690965338456,0.0,0.0,0.0,3.7597826496098913e-13,0.0,0.0,-13846.4
