Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear
t30,0.0,0.0,0.0,1.884829955972584e-8,0.0,0.0,0.0
t31,0.0,0.0,0.0,1.8485596458806905e-8,0.0,0.0,0.0
t32,0.0,0.0,0.0,518.9908043330626,0.0,0.0,0.0
t33,0.0,0.0,0.0,1880.0311328165255,0.0,0.0,0.0
t34,0.0,0.0,0.0,2326.8672200062642,0.0,0.0,0.0
t35,0.0,0.0,0.0,2326.867220003684,0.0,0.0,0.0
t36,0.0,0.0,0.0,1515.4352499159831,0.0,0.0,0.0
t37,0.0,0.0,0.0,546.6774880690715,0.0,0.0,0.0
t38,0.0,0.0,0.0,1.4323675650007621e-8,0.0,0.0,0.0
t39,0.0,0.0,0.0,6.2684997252862735e-9,0.0,0.0,0.0
t40,0.0,0.0,0.0,881.9296887657865,0.0,0.0,0.0
t41,0.0,0.0,0.0,3632.8094337682046,0.0,0.0,0.0
t42,0.0,0.0,0.0,7868.883505123841,0.0,0.0,0.0
t43,0.0,0.0,0.0,12249.124232430502,0.0,0.0,0.0
t44,0.0,0.0,0.0,16978.269315297883,0.0,0.0,0.0
t45,0.0,0.0,0.0,18873.278555736153,0.0,0.0,0.0
t46,0.0,0.0,0.0,20060.308923411678,0.0,0.0,0.0
t47,0.0,0.0,0.0,21316.16733170081,0.0,0.0,0.0
t48,0.0,0.0,0.0,22565.858932262465,0.0,0.0,0.0
t49,0.0,0.0,0.0,24089.53017238838,0.0,0.0,0.0
t50,0.0,0.0,0.0,24831.600336541534,0.0,0.0,0.0
t51,0.0,0.0,0.0,24831.60033653465,0.0,0.0,0.0
t52,0.0,0.0,0.0,24831.600336533636,0.0,0.0,0.0
t53,0.0,0.0,0.0,24831.600336534484,0.0,0.0,0.0
t54,0.0,0.0,0.0,24831.60033653655,0.0,0.0,0.0
t55,0.0,0.0,0.0,24831.60033654392,0.0,0.0,0.0
t56,0.0,0.0,0.0,24831.60033652251,0.0,0.0,0.0
t57,0.0,0.0,0.0,24831.600336515345,0.0,0.0,0.0
t58,0.0,0.0,0.0,24831.600336510677,0.0,0.0,0.0
t59,0.0,0.0,0.0,24831.600336507126,0.0,0.0,0.0
t60,0.0,0.0,0.0,24831.600336504103,0.0,0.0,0.0
t61,0.0,0.0,0.0,24831.60033650146,0.0,0.0,0.0
t62,0.0,0.0,0.0,24829.70901525964,0.0,0.0,0.0
t63,0.0,0.0,0.0,24826.19963732517,0.0,0.0,0.0
t64,0.0,0.0,0.0,24584.21609711403,0.0,0.0,0.0
t65,0.0,0.0,0.0,24584.21609711166,0.0,0.0,0.0
t66,0.0,0.0,0.0,24584.216097109376,0.0,0.0,0.0
t67,0.0,0.0,0.0,24584.216097107113,0.0,0.0,0.0
t68,0.0,0.0,0.0,24584.21609710472,0.0,0.0,0.0
t69,0.0,0.0,0.0,24584.216097102588,0.0,0.0,0.0
t70,0.0,0.0,0.0,23319.15229283813,0.0,0.0,0.0
t71,0.0,0.0,0.0,21304.254137271237,0.0,0.0,0.0
t72,0.0,0.0,0.0,20934.392201356277,0.0,0.0,0.0
t73,0.0,0.0,0.0,20934.392201353927,0.0,0.0,0.0
t74,0.0,0.0,0.0,20751.335354052182,0.0,0.0,0.0
t75,0.0,0.0,0.0,20751.33535404966,0.0,0.0,0.0
t76,0.0,0.0,0.0,20751.33535404736,0.0,0.0,0.0
t77,0.0,0.0,0.0,20751.335354045415,0.0,0.0,0.0
t78,0.0,0.0,0.0,21015.200651514813,0.0,0.0,0.0
t79,0.0,0.0,0.0,21015.20065151307,0.0,0.0,0.0
t80,0.0,0.0,0.0,21015.200651511044,0.0,0.0,0.0
t81,0.0,0.0,0.0,21015.200651509007,0.0,0.0,0.0
t82,0.0,0.0,0.0,21015.20065150687,0.0,0.0,0.0
t83,0.0,0.0,0.0,21015.200651504612,0.0,0.0,0.0
t84,0.0,0.0,0.0,19578.159362170536,0.0,0.0,0.0
t85,0.0,0.0,0.0,16893.440209647153,0.0,0.0,0.0
t86,0.0,0.0,0.0,13885.575671932598,0.0,0.0,0.0
t87,0.0,0.0,0.0,12393.186686217932,0.0,0.0,0.0
t88,0.0,0.0,0.0,12184.88518385434,0.0,0.0,0.0
t89,0.0,0.0,0.0,12184.88518385231,0.0,0.0,0.0
t90,0.0,0.0,0.0,12184.885183850223,0.0,0.0,0.0
t91,0.0,0.0,0.0,12184.885183848337,0.0,0.0,0.0
t92,0.0,0.0,0.0,12184.8851838464,0.0,0.0,0.0
t93,0.0,0.0,0.0,12184.885183843773,0.0,0.0,0.0
