Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t403,0.0,0.0,36422.84889062993,0.0,0.0,0.0,0.0,361.31325107167925,19854.837858298386,0.0,0.0,56639.0
t404,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,335.818159485585,0.0,8411.814350408715,1880.0204594202291,60615.99999999999
t405,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,353.94357616007386,0.0,8737.622673932361,1765.0867192220971,60845.0
t406,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,446.36328315966546,0.0,9662.289686154922,0.0,60097.00000000005
t407,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,609.4920332300652,0.0,7614.160936084467,0.0,58212.0
t408,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,543.5633198316497,0.0,3958.089649482885,0.0,54490.0
t409,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,731.7888006821111,0.0,548.8641686324263,0.0,51269.0
t410,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,746.5281505053218,0.0,0.0,0.0,50734.875181190786
t411,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,821.8183428455063,0.0,0.0,0.0,50810.165373530974
t412,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,953.4765892393211,0.0,0.0,0.0,50941.823619924784
t413,0.0,0.0,49988.347030685465,0.0,0.0,0.0,0.0,872.2109848086457,0.0,0.0,0.0,50860.55801549411
t414,0.0,0.0,49988.347030685516,0.0,0.0,0.0,0.0,930.1724820864068,0.0,1411.4804872280959,0.0,52330.000000000015
t415,0.0,0.0,49988.347030685516,0.0,0.0,0.0,0.0,798.9125964986248,0.0,6625.740372815861,0.0,57413.0
t416,0.0,0.0,49988.347030685516,0.0,0.0,0.0,0.0,725.0166669795548,0.0,14554.636302334926,0.0,65268.0
t417,0.0,0.0,49988.347030685516,0.0,0.0,0.0,0.0,518.0682282455555,0.0,17266.58474106893,0.0,67773.0
t418,0.0,0.0,49988.347030685516,0.0,0.0,0.0,0.0,412.3034342438677,13016.186222178427,1937.1633128921894,0.0,65354.0
t419,0.0,0.0,31022.777624815364,0.0,0.0,0.0,0.0,306.7378206451962,31463.48455453944,0.0,0.0,62793.0
t420,0.0,0.0,22850.407414125704,0.0,0.0,0.0,0.0,127.47545793047117,43256.95967337833,0.0,0.0,66234.84254543451
t421,0.0,0.0,22850.407414125704,0.0,0.0,0.0,0.0,63.53854856221922,50664.31414826086,0.0,0.0,73578.26011094879
t422,0.0,0.0,22850.407414125704,0.0,0.0,0.0,0.0,22.109024734816092,52988.88700170288,0.0,0.0,75861.4034405634
t423,0.0,0.0,22850.407414125704,0.0,0.0,0.0,0.0,19.5196794956034,51901.24282256946,0.0,0.0,74771.16991619076
t424,0.0,0.0,22850.407414125704,0.0,0.0,0.0,0.0,9.560659344785337,50778.05471601338,0.0,0.0,73638.02278948386
t425,0.0,0.0,22850.407414125704,0.0,0.0,0.0,0.0,14.340989017178005,43121.89274917222,0.0,0.0,65986.6411523151
