Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,comm_solar_pv_2,res_solar_pv_2
32,0.262,1,0.062296155259929,0.4217971077203031,1,0.5519886265129537,1,1,0.552743642,1,1,0.5519886265129537,0.0364877480808155,0.0331504540490336
33,0.262,1,0.1538175828833646,0.3205739080077172,1,0.4972547184358747,1,1,0.552743642,1,1,0.4972547184358747,0.0900931556888278,0.0818529280343618
34,0.262,1,0.4395407362624981,0.1363061031643991,1,0.3303235651499021,1,1,0.552743642,1,1,0.3303235651499021,0.2574452883823203,0.2338984632254007
35,0.262,1,0.55378251108126,0.1405777452271927,1,0.2291960390296694,1,1,0.552743642,1,1,0.2291960390296694,0.3243583279190236,0.2946914076825275
36,0.262,1,0.6515968466030819,0.0255000907859783,1,0.1713726074526831,1,1,0.552743642,1,1,0.1713726074526831,0.381649581581805,0.3467426076566399
37,0.262,1,0.4795484211208903,0.00157707,1,0.0778531041483731,1,1,0.552743642,1,1,0.0778531041483731,0.2808783609422357,0.2551882669536165
38,0.262,1,0.3328861314888738,0.0059607899999999,1,0.0679154618356609,1,1,0.552743642,1,1,0.0679154618356609,0.1949761627291975,0.1771429771137221
39,0.262,1,0.1217881409630961,0.0,1,0.0518198803689403,1,1,0.552743642,1,1,0.0518198803689403,0.0713330539926705,0.0648086892982189
40,0.262,1,0.0290737057148226,0.0,1,0.0614586174140458,1,1,0.552743642,1,1,0.0614586174140458,0.0170288847758246,0.0154713648268163
41,0.262,1,0.0,0.0390213544534184,1,0.0804150687709103,1,1,0.552743642,1,1,0.0804150687709103,0.0,0.0
42,0.262,1,0.0,0.1644139078321063,1,0.0988954007800408,1,1,0.552743642,1,1,0.0988954007800408,0.0,0.0
43,0.262,1,0.0,0.2184424028168713,1,0.2432337141915434,1,1,0.552743642,1,1,0.2432337141915434,0.0,0.0
44,0.262,1,0.0,0.185850434915315,1,0.4235747256900875,1,1,0.552743642,1,1,0.4235747256900875,0.0,0.0
45,0.262,1,0.0,0.2563804378691131,1,0.6098798984256779,1,1,0.552743642,1,1,0.6098798984256779,0.0,0.0
46,0.262,1,0.0,0.5247578946721785,1,0.8059049117279716,1,1,0.552743642,1,1,0.8059049117279716,0.0,0.0
