Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State,Storage Inventory,Charge per Hour,Discharge per Hour,Net charge rate
1.2582904275535758e-6,8549.749983148075,11920.527000756707,3370.7770176086337,0.00024493354600138963,438.47776809298534,2486.967650863224,29843.62374780819,29801.317501891765,0.07022081730351748,29792.252118785964,0.06790648079624441,29372.928711081968,43.84777680929854,0.0,0.0,0.0,0.0
1.273336531722756e-6,8690.614073067458,12107.117459743866,3416.5033866764084,1.3859746623016829e-5,445.33135320143793,2525.840665896346,30310.100114796198,30267.793649359664,0.06967947580192171,30387.791382820567,0.0679688449235077,30323.536701612888,44.53313532014379,0.0,0.0,0.0,0.0
1.2363288224989842e-6,8690.614073226257,12107.117459969566,3416.5033867433094,1.3865173115310227e-5,445.33135321632096,2525.8406659429374,30310.100115355293,30267.793649923915,0.0700036082259248,30263.478798215918,0.06799119084060225,30314.914627611222,44.533135321632095,0.0,0.0,0.0,0.0
1.248870350620522e-6,8690.614073314173,12107.11746012367,3416.5033868094993,1.3886299084764649e-5,445.331353230952,2525.84066597337,30310.100115720485,30267.793650309177,0.07092321370879014,30177.947219499845,0.06737611975788758,30177.58072734774,44.5331353230952,0.0,0.0,0.0,0.0
1.2303456206945444e-6,8690.614072898403,12107.117459551302,3416.503386652901,1.3873778339236969e-5,445.3313532051269,2525.840665855118,30310.100114301462,30267.793648878258,0.07215302020126745,30133.390383470796,0.06632013663929119,30082.58456213031,44.53313532051269,0.0,0.0,0.0,0.0
1.2734612574115828e-6,8690.614072904447,12107.117459545154,3416.5033866407066,1.3871060826646966e-5,445.33135319671567,2525.840665854052,30310.10011428867,30267.793648862887,0.07374341096189685,30081.59642042367,0.06519829761910334,30068.39565933068,44.533135319671565,0.0,0.0,0.0,0.0
1.2903855506194492e-6,8690.614073125947,12107.117459835592,3416.5033867096463,1.3867124007152748e-5,445.33135320877244,2525.840665914872,30310.100115018507,30267.793649588984,0.07558101312601748,30046.086533467515,0.06463712845061242,30189.194097694723,44.53313532087724,0.0,0.0,0.0,0.0
1.2796616185412044e-6,8690.614073448216,12107.117460247397,3416.503386799181,1.3859526183623376e-5,445.33135321951124,2525.8406660012656,30310.100116055233,30267.793650618492,0.07635915638329409,30198.26112187675,0.0652906198243244,30450.89730126667,44.53313532195112,0.0,0.0,0.0,0.0
1.2645694695684042e-6,8690.614073749313,12107.117460624646,3416.503386875332,1.383978120272836e-5,445.3313532352506,2525.840666081422,30310.100117017115,30267.793651561617,0.07551195288120317,30431.71847132684,0.06546745102284299,30348.199066766916,44.53313532352506,0.0,0.0,0.0,0.0
1.2497998749436975e-6,8083.984354765895,11303.566221407362,3219.5818666414684,0.00024766228537046825,415.81605889748766,2358.4342063628173,28301.22179684253,28258.915553518407,0.07735178612317914,28036.88612101823,0.06237773247856386,27635.530264207533,41.581605889748765,0.0,0.0,0.0,0.0
1.2416941869729046e-6,6076.724884400629,8644.71735822001,2567.9924738193836,0.00024880678408914535,318.1532899481364,1804.507581345585,21654.099637786876,21611.79339555003,0.07642993380705977,21786.43932237429,0.06342243029197171,21879.183728321783,31.81532899481364,0.0,0.0,0.0,0.0
1.247614545471886e-6,5066.967476257465,7307.176070793582,2240.2085945361173,0.0002488454330677598,269.023734048013,1525.853257923793,18310.246419184085,18267.940176983953,0.07383237010419995,18683.27918668565,0.06551737494012484,18761.610157864015,26.902373404801303,0.0,0.0,0.0,0.0
1.2537720599671773e-6,5268.533687973759,7574.17399420618,2305.640306232421,0.0002488410630705842,278.83090062054333,1581.4778030519367,18977.741227719733,18935.43498551545,0.07946760662633444,18168.25111806749,0.060125178218926156,17815.97207361653,27.883090062054332,0.0,0.0,0.0,0.0
1.259346197962767e-6,4232.549061572065,6201.891692891888,1969.3426313198233,0.0002487664477543535,228.4252575269396,1295.585771307558,15547.035474504886,15504.729232229718,0.07927152658855449,15575.12628776813,0.0606160348504014,15652.792390103501,22.84252575269396,0.0,0.0,0.0,0.0
1.26259536772263e-6,3760.0849439016542,5576.057938585192,1815.9729946835366,0.00024871060695127697,205.43760093648842,1165.2037913175632,13982.451088791193,13940.144846462976,0.0767033331801487,14351.262607620063,0.0640874823342957,14730.387563553382,20.543760093648842,0.0,0.0,0.0,0.0
1.26097977320535e-6,4212.578296495652,6175.43809108535,1962.8597945896981,0.00024876529167075517,227.45358563644075,1290.0746064690877,15480.90146998964,15438.595227713373,0.0769099197732155,15451.157468800362,0.0658429512444425,15859.123878452207,22.745358563644075,0.0,0.0,0.0,0.0
1.24680470359009e-6,5199.494624396004,7482.723709410497,2283.229085014493,0.00024893485688290797,275.4718143611568,1562.4256679996013,18749.11551564142,18706.809273526243,0.0788836674694119,18465.543633465604,0.06553404913950042,18682.561390168143,27.547181436115682,0.0,0.0,0.0,0.0
1.2347143321430498e-6,6156.239377485735,8750.043556657214,2593.804179171482,0.00024888494013079016,322.0220459976979,1826.4505305699656,21917.41513380564,21875.10889164304,0.0783775573927632,21990.037914493616,0.06508824972766364,21821.365966394296,32.202204599769786,0.0,0.0,0.0,0.0
1.2039098977972952e-6,6383.1558411278975,9050.620849551375,2667.4650084234772,0.00024955194662579114,333.0626303306496,1889.070774822003,22668.85836540738,22626.55212387844,0.07457188131227657,23215.41758669175,0.06592164456848056,22848.416432241895,33.30626303306496,0.0,0.0,0.0,0.0
1.207429381600002e-6,6108.454358014026,8686.746746513694,2578.2923884996694,0.00024891471509165883,319.69708547030046,1813.2637003957757,21759.173108418552,21716.86686628424,0.07550882818846709,21624.525152098624,0.06348443243142102,21234.066546243223,31.96970854703005,0.0,0.0,0.0,0.0
1.1958189425455512e-6,4773.795863025234,6918.836121943038,2145.040258917803,0.0002488144112384533,254.75952210713228,1444.9491342773813,17339.396547087195,17297.090304857593,0.07759029544092524,17040.353567213482,0.06241370427284583,17108.704120349124,25.475952210713228,0.0,0.0,0.0,0.0
1.2186716694829188e-6,3494.810308179094,5224.670789500246,1729.8604813211523,0.00024861612062596864,192.5307144382114,1091.9981645479422,13103.983216168594,13061.676973750615,0.07654734674888601,13253.716461839202,0.06458784221827588,13572.409449921513,19.25307144382114,0.0,0.0,0.0,0.0
1.2299762249953423e-6,3031.3269985760285,4610.733185624443,1579.4061870484147,0.0002483714025547274,169.98003670347688,964.0945482546572,11569.139206711568,11526.832964061106,0.07657655075264831,11564.873848740426,0.06591592117614875,11855.278835372454,16.99800367034769,0.0,0.0,0.0,0.0
1.2378918154045812e-6,2721.4277209773736,4200.235502034786,1478.8077810574118,0.00024832600351902345,154.90194729398405,878.5742317185461,10542.894997780553,10500.588755086963,0.07486791847965313,10788.245206859416,0.06844852926567788,11088.554978300164,15.490194729398405,0.0,0.0,0.0,0.0
1.2440901598313282e-6,2812.7985281916117,4321.266775037041,1508.4682468454298,0.00024837525634985454,159.3475745804511,903.7890701708443,10845.473180239404,10803.166937592603,0.07446604070458153,10903.128170085283,0.06996082802315548,11171.303660666592,15.93475745804511,0.0,0.0,0.0,0.0
