Deuterium exports,Deuterium inventory,Fixed plant power,Gross Electric,Imports,Net Electric,Reactor Thermal power,Recirc Power,Salt Heating,Tritium exports,Tritium inventory,Var plant power
-18874.608491216997,0.0,456.6358539432326,7540.246606841527,1.4389599304335777e-15,5030.829337415391,18872.136590581373,2509.417269426138,23.01087647058446,-3.142819338108893e-12,77178.91372733496,1572.6780492151142
-21630.93494584155,0.0,456.6358539432472,8642.07788043005,1.2963988279635e-15,5904.780307926536,21628.435482217006,2737.297572503516,21.199605244978805,-1.0964562591198046e-12,79339.25781193213,1802.3696235180837
-21747.06509840285,0.0,456.63585394326117,8680.473626945528,1.4167791465951338e-15,5954.698243747662,21744.564473488397,2725.775383197866,3.203125099496875e-11,-3.824940364438589e-12,81511.21363436652,1812.0470394573663
-21747.06509840309,0.0,456.6358539432622,8680.473626945624,1.2819736946932159e-15,5954.698243747736,21744.564473488637,2725.775383197887,3.233175570320743e-11,-8.827161224189695e-12,83683.16945680094,1812.0470394573863
-21747.065098403105,0.0,456.6358539432624,8680.47362694563,1.4112722894312377e-15,5954.698243747741,21744.564473488652,2725.7753831978885,3.200800552005908e-11,-7.462919171530302e-12,85855.12527923536,1812.0470394573877
-21747.065098403084,0.0,456.63585394326185,8680.47362694562,1.2881626782630383e-15,5954.6982437477345,21744.56447348863,2725.775383197886,3.229593510219751e-11,-9.736655925962623e-12,88027.08110166978,1812.0470394573858
-21747.065098403113,0.0,456.63585394326265,8680.473626945632,1.2834583417646764e-15,5954.698243747744,21744.56447348866,2725.77538319789,3.237453079522671e-11,-6.553424469757374e-12,90199.0369241042,1812.047039457388
-21747.065098403094,0.0,456.6358539432633,8680.473626945624,1.2916447364591794e-15,5954.698243747736,21744.56447348864,2725.775383197889,3.231075095124043e-11,-8.37241387330323e-12,92370.99274653863,1812.0470394573867
-21747.065098403105,0.0,456.63585394326265,8680.47362694563,1.3079300874456762e-15,5954.69824374774,21744.564473488652,2725.775383197888,3.154600018982712e-11,-7.462919171530302e-12,94542.94856897305,1812.0470394573877
-21747.06509840311,0.0,456.63585394326265,8680.473626945632,1.3079146759941008e-15,5954.698243747742,21744.564473488655,2725.7753831978885,3.1535485438563845e-11,-7.008171820643838e-12,96714.90439140747,1812.0470394573879
-21747.06509840311,0.0,456.6358539432625,8680.473626945632,1.3070993039593603e-15,5954.698243747743,21744.564473488655,2725.7753831978885,3.147651368191361e-11,-7.008171820643838e-12,98886.8602138419,1812.0470394573879
-21747.065098403094,0.0,456.63585394326265,8680.473626945624,1.4406484913721191e-15,5954.698243747738,21744.56447348864,2725.775383197887,3.126160829591787e-11,-8.37241387330323e-12,101058.81603627632,1812.0470394573867
-21747.0650984031,0.0,456.63585394326265,8680.473626945628,1.4400928519334022e-15,5954.69824374774,21744.56447348865,2725.7753831978875,3.1242057471326717e-11,-7.917666522416766e-12,103230.77185871074,1812.0470394573872
-21747.06509840311,0.0,456.63585394326253,8680.473626945632,1.3029579904061282e-15,5954.698243747742,21744.564473488655,2725.775383197889,3.2222672275095157e-11,-7.008171820643838e-12,105402.72768114516,1812.0470394573879
-21747.0650984031,0.0,456.63585394326265,8680.473626945628,1.4391872302569045e-15,5954.69824374774,21744.56447348865,2725.775383197888,3.19620021243613e-11,-7.917666522416766e-12,107574.68350357958,1812.0470394573872
-21747.065098403105,0.0,456.63585394326265,8680.47362694563,1.3027781519725228e-15,5954.69824374774,21744.564473488652,2725.775383197889,3.221470472107181e-11,-7.462919171530302e-12,109746.639326014,1812.0470394573877
-21747.065098403105,0.0,456.6358539432624,8680.47362694563,1.3043071585075436e-15,5954.698243747742,21744.564473488652,2725.775383197888,3.150232603359036e-11,-7.462919171530302e-12,111918.59514844842,1812.0470394573877
-21747.065098403098,0.0,456.63585394326253,8680.473626945626,1.4322335007503694e-15,5954.69824374774,21744.564473488645,2725.775383197887,3.1264093881693063e-11,-7.917666522416766e-12,114090.55097088285,1812.047039457387
-21747.06509840311,0.0,456.63585394326304,8680.473626945632,1.303268937995094e-15,5954.698243747742,21744.564473488655,2725.775383197889,3.153144495475148e-11,-7.008171820643838e-12,116262.50679331727,1812.0470394573879
-21747.065098403113,0.0,456.6358539432625,8680.473626945632,1.3009695776124119e-15,5954.6982437477445,21744.56447348866,2725.7753831978885,3.151255745982911e-11,-6.553424469757374e-12,118434.46261575169,1812.047039457388
-21747.06509840311,0.0,456.635853943263,8680.473626945632,1.429924864709857e-15,5954.698243747742,21744.564473488655,2725.7753831978885,3.1262368073810025e-11,-7.008171820643838e-12,120606.41843818611,1812.0470394573879
-21747.065098403113,0.0,456.6358539432627,8680.473626945632,1.4271261185280296e-15,5954.698243747744,21744.56447348866,2725.7753831978885,3.1282917770510124e-11,-6.553424469757374e-12,122778.37426062053,1812.047039457388
-21747.0650984031,0.0,456.63585394326276,8680.473626945628,1.4238758560548637e-15,5954.698243747739,21744.56447348865,2725.7753831978885,3.1997427172618726e-11,-7.917666522416766e-12,124950.33008305496,1812.0470394573872
-21747.06509840311,0.0,456.6358539432624,8680.473626945632,1.2883928832808148e-15,5954.698243747742,21744.564473488655,2725.775383197889,3.227092691549989e-11,-7.008171820643838e-12,127122.28590548938,1812.0470394573879
-21747.0650984031,0.0,456.635853943263,8680.473626945628,1.284604127740713e-15,5954.698243747739,21744.56447348865,2725.775383197889,3.227362776559013e-11,-7.917666522416766e-12,129294.2417279238,1812.0470394573872
