Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
52651,0.262,1,0.0,0.0,0.0,0.559481678,1,0.809740509,0.809740509,1,1,0.552743642,1,1
52652,0.262,1,0.0,0.0,0.0,0.628872586,1,0.81,0.81,1,1,0.552743642,1,1
52653,0.262,1,0.0,0.0,0.0,0.681005157,1,0.81,0.81,1,1,0.552743642,1,1
52654,0.262,1,0.0,0.0,0.0,0.662191851,1,0.81,0.81,1,1,0.552743642,1,1
52655,0.262,1,0.0,0.0,0.0,0.691738055,1,0.81,0.81,1,1,0.552743642,1,1
52656,0.262,1,0.0,0.0,0.0,0.673446221,1,0.81,0.81,1,1,0.552743642,1,1
52657,0.262,1,0.0,0.0,0.0,0.622843276,1,0.81,0.81,1,1,0.552743642,1,1
52658,0.262,1,0.0,0.0,0.0,0.580484112,1,0.81,0.81,1,1,0.552743642,1,1
52659,0.262,1,0.0,0.0,0.0,0.59118934,1,0.81,0.81,1,1,0.552743642,1,1
52660,0.262,1,0.0,0.0,0.0,0.622916653,1,0.81,0.81,1,1,0.552743642,1,1
52661,0.262,1,0.0,0.0,0.0,0.482608109,1,0.808879518,0.808879518,1,1,0.552743642,1,1
52662,0.262,1,0.0,0.0,0.0,0.420399107,1,0.809478702,0.809478702,1,1,0.552743642,1,1
52663,0.262,1,0.0,0.0,0.0,0.411116911,1,0.81,0.81,1,1,0.552743642,1,1
52664,0.262,1,0.002835628,0.001625033,0.001494158,0.606284451,1,0.81,0.81,1,1,0.552743642,1,1
52665,0.262,1,0.060038859,0.034406885,0.03163586,0.734940808,1,0.81,0.81,1,1,0.552743642,1,1
52666,0.262,1,0.102574789,0.058783244,0.054049023,0.756203448,1,0.81,0.81,1,1,0.552743642,1,1
52667,0.262,1,0.172816797,0.099037318,0.091061158,0.763673463,1,0.81,0.81,1,1,0.552743642,1,1
52668,0.262,1,0.145129924,0.08317061,0.076472306,0.680152911,1,0.81,0.81,1,1,0.552743642,1,1
52669,0.262,1,0.091379119,0.052367264,0.048149767,0.690495939,1,0.81,0.81,1,1,0.552743642,1,1
52670,0.262,1,0.101806532,0.058342974,0.053644211,0.652614448,1,0.81,0.81,1,1,0.552743642,1,1
52671,0.262,1,0.057784233,0.03311481,0.030447846,0.653092026,1,0.81,0.81,1,1,0.552743642,1,1
52672,0.262,1,0.016391349,0.009393504,0.00863698,0.632046705,1,0.81,0.81,1,1,0.552743642,1,1
52673,0.262,1,0.0,0.0,0.0,0.587458764,1,0.81,0.81,1,1,0.552743642,1,1
52674,0.262,1,0.0,0.0,0.0,0.592760139,1,0.81,0.81,1,1,0.552743642,1,1
52675,0.262,1,0.0,0.0,0.0,0.599032473,1,0.81,0.81,1,1,0.552743642,1,1
52676,0.262,1,0.0,0.0,0.0,0.624342798,1,0.81,0.81,1,1,0.552743642,1,1
52677,0.262,1,0.0,0.0,0.0,0.637782719,1,0.81,0.81,1,1,0.552743642,1,1
52678,0.262,1,0.0,0.0,0.0,0.64571462,1,0.81,0.81,1,1,0.552743642,1,1
52679,0.262,1,0.0,0.0,0.0,0.559915806,1,0.81,0.81,1,1,0.552743642,1,1
52680,0.262,1,0.0,0.0,0.0,0.637547141,1,0.81,0.81,1,1,0.552743642,1,1
52681,0.262,1,0.0,0.0,0.0,0.614816636,1,0.81,0.81,1,1,0.552743642,1,1
52682,0.262,1,0.0,0.0,0.0,0.589347023,1,0.81,0.81,1,1,0.552743642,1,1
52683,0.262,1,0.0,0.0,0.0,0.686319183,1,0.81,0.81,1,1,0.552743642,1,1
52684,0.262,1,0.0,0.0,0.0,0.722251305,1,0.81,0.81,1,1,0.552743642,1,1
52685,0.262,1,0.0,0.0,0.0,0.737075328,1,0.81,0.81,1,1,0.552743642,1,1
52686,0.262,1,0.0,0.0,0.0,0.763015304,1,0.81,0.81,1,1,0.552743642,1,1
52687,0.262,1,0.0,0.0,0.0,0.754586326,1,0.81,0.81,1,1,0.552743642,1,1
52688,0.262,1,0.000376757,0.000215911,0.000198522,0.752121125,1,0.81,0.81,1,1,0.552743642,1,1
52689,0.262,1,0.028957947,0.016595131,0.015258611,0.736070678,1,0.81,0.81,1,1,0.552743642,1,1
52690,0.262,1,0.06899973,0.039542153,0.03635755,0.764567532,1,0.81,0.81,1,1,0.552743642,1,1
52691,0.262,1,0.164334395,0.094176249,0.086591585,0.78769439,1,0.81,0.81,1,1,0.552743642,1,1
52692,0.262,1,0.25527731,0.146293535,0.134511506,0.6713704,1,0.81,0.81,1,1,0.552743642,1,1
52693,0.262,1,0.612394839,0.35094935,0.322684973,0.62855183,1,0.7425,0.7425,1,1,0.552743642,1,1
52694,0.262,1,0.543478109,0.311454762,0.286371157,0.636020775,1,0.81,0.81,1,1,0.552743642,1,1
52695,0.262,1,0.447888021,0.256674289,0.236002534,0.629591284,1,0.81,0.81,1,1,0.552743642,1,1
52696,0.262,1,0.268815443,0.154051927,0.14164506,0.622800748,1,0.81,0.81,1,1,0.552743642,1,1
52697,0.262,1,0.0,0.0,0.0,0.558733018,1,0.81,0.81,1,1,0.552743642,1,1
52698,0.262,1,0.0,0.0,0.0,0.56009684,1,0.81,0.81,1,1,0.552743642,1,1
52699,0.262,1,0.0,0.0,0.0,0.564380016,1,0.81,0.81,1,1,0.552743642,1,1
52700,0.262,1,0.0,0.0,0.0,0.579583411,1,0.81,0.81,1,1,0.552743642,1,1
52701,0.262,1,0.0,0.0,0.0,0.656311672,1,0.81,0.81,1,1,0.552743642,1,1
52702,0.262,1,0.0,0.0,0.0,0.644384242,1,0.81,0.81,1,1,0.552743642,1,1
52703,0.262,1,0.0,0.0,0.0,0.652638482,1,0.81,0.81,1,1,0.552743642,1,1
52704,0.262,1,0.0,0.0,0.0,0.548470975,1,0.81,0.81,1,1,0.552743642,1,1
52705,0.262,1,0.0,0.0,0.0,0.544293882,1,0.81,0.81,1,1,0.552743642,1,1
52706,0.262,1,0.0,0.0,0.0,0.5701246,1,0.81,0.81,1,1,0.552743642,1,1
52707,0.262,1,0.0,0.0,0.0,0.629069651,1,0.81,0.81,1,1,0.552743642,1,1
52708,0.262,1,0.0,0.0,0.0,0.633970579,1,0.81,0.81,1,1,0.552743642,1,1
52709,0.262,1,0.0,0.0,0.0,0.650291146,1,0.81,0.81,1,1,0.552743642,1,1
52710,0.262,1,0.0,0.0,0.0,0.598913608,1,0.81,0.81,1,1,0.552743642,1,1
